,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,5.99,0.71,0.54,0.48,0.51,0.61,2.51,0.79,5.15,1.88,3.7,3.41,3.83,3.34,3.2,4.06
f_1,0.54,5.95,1.12,0.62,0.54,0.59,2.44,2.72,3.01,1.75,2.66,0.47,4.93,2.04,1.68,3.71
e_1,0.53,0.69,6.29,0.58,0.6,0.49,1.86,5.57,2.61,2.1,2.28,2.76,4.75,2.82,0.64,4.02
c_1,0.63,0.47,0.57,6.58,1.15,0.34,2.18,3.03,0.61,2.35,2.19,3.2,4.31,3.26,3.16,5.38
b_1,0.6,0.53,0.56,0.63,7.52,1.1,2.59,3.25,2.06,2.2,0.78,3.22,3.42,1.97,3.59,2.89
a_1,0.6,0.87,0.55,0.56,0.37,10.14,1.79,2.46,2.9,2.15,3.06,3.06,4.53,1.06,2.5,4.86
h_1,1.09,1.48,0.78,1.08,1.0,1.08,14.97,4.23,4.41,4.28,4.64,4.58,2.2,4.89,5.63,7.57
d_0,0.21,0.98,0.94,2.26,1.02,1.36,3.31,13.14,4.55,3.2,6.3,4.5,8.05,5.46,4.65,7.56
c_0,1.18,0.97,1.09,0.53,0.95,1.22,4.49,5.06,13.61,3.81,9.77,6.64,8.0,6.4,5.53,9.02
g_1,1.68,0.9,0.64,0.94,1.17,1.02,3.17,4.03,4.66,18.77,5.0,8.17,7.68,3.01,4.81,4.02
b_0,1.06,1.24,0.84,1.3,0.4,0.81,4.88,4.71,5.91,4.75,16.38,6.13,9.21,11.42,6.91,7.79
f_0,1.52,0.33,0.93,1.22,1.09,0.71,3.68,5.14,6.31,4.98,5.76,16.11,8.95,5.89,15.2,7.02
h_0,1.08,1.41,0.87,1.02,0.95,1.23,1.36,4.77,5.2,5.98,5.9,5.13,2.69,6.07,4.95,11.16
a_0,1.26,1.32,1.13,1.16,0.79,0.41,4.75,4.41,4.87,4.38,6.02,4.65,7.31,22.53,5.25,6.66
e_0,1.24,1.12,0.5,1.13,1.2,0.87,3.32,4.65,7.05,4.81,4.17,6.7,9.9,5.75,23.59,8.41
g_0,2.02,0.89,0.78,0.86,1.04,0.99,3.04,3.78,4.62,1.74,4.82,8.1,6.73,5.18,6.45,4.63
