,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.78,0.84,1.14,0.84,0.73,0.48,0.58,0.44,0.36,0.35,0.38,0.33,0.34,0.29,0.33
f_1,1.31,1.0,0.85,0.91,0.9,0.62,0.38,0.45,0.44,0.39,0.38,0.3,0.29,0.23,0.3,0.27
d_1,1.14,1.17,1.0,0.89,0.88,0.63,0.5,0.47,0.35,0.55,0.43,0.39,0.36,0.36,0.32,0.25
c_1,0.87,1.12,1.12,1.0,1.31,0.75,0.5,0.31,0.5,0.39,0.38,0.42,0.36,0.31,0.29,0.29
b_1,1.22,1.07,1.11,0.76,1.0,1.19,0.53,0.49,0.51,0.49,0.52,0.45,0.46,0.35,0.33,0.33
a_1,1.38,1.62,1.6,1.34,0.86,1.0,0.74,0.61,0.6,0.67,0.6,0.57,0.49,0.45,0.5,0.45
h_1,2.09,2.53,1.97,1.96,1.84,1.36,1.0,0.89,1.08,0.82,0.79,0.63,0.71,0.63,0.58,0.69
d_0,1.77,2.29,2.17,3.2,1.99,1.61,1.18,1.0,1.03,0.85,0.84,0.89,0.78,0.67,0.69,0.79
g_1,2.28,2.3,2.76,2.07,1.97,1.59,0.9,0.94,1.0,0.96,0.97,1.09,0.72,0.76,0.71,0.67
c_0,2.83,2.64,1.84,2.63,2.05,1.43,1.23,1.14,1.01,1.0,1.24,1.0,0.83,0.82,0.82,0.7
b_0,2.91,2.58,2.31,2.72,2.13,1.61,1.27,1.19,1.08,0.83,1.0,0.97,0.93,0.91,1.1,0.76
f_0,2.51,3.22,2.59,2.51,2.42,1.75,1.6,1.07,0.94,1.07,1.04,1.0,0.88,1.16,0.71,0.65
h_0,2.86,3.45,2.8,2.8,2.28,1.89,1.38,1.26,1.38,1.15,1.12,1.16,1.0,0.94,0.9,1.1
e_0,3.06,4.4,2.66,3.41,2.91,2.05,1.64,1.42,1.23,1.34,1.12,0.92,1.1,1.0,0.92,0.96
a_0,3.39,3.57,3.02,3.29,3.03,1.94,1.74,1.44,1.45,1.23,0.91,1.5,1.07,1.15,1.0,0.98
g_0,3.26,3.48,3.92,3.5,3.14,2.21,1.44,1.24,1.46,1.5,1.41,1.54,0.94,1.03,1.0,1.0
