,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,6.12,1.31,1.07,1.27,2.55,0.88,4.9,4.35,5.85,1.72,6.75,4.5,9.25,6.35,5.53,8.27
f_1,1.38,6.14,1.5,2.3,1.03,0.88,4.61,4.59,5.01,5.62,2.15,6.8,8.44,3.11,6.79,7.26
d_1,1.03,1.45,6.36,1.04,1.21,1.14,5.32,5.03,2.84,12.64,7.35,8.79,9.41,7.56,7.3,9.94
e_1,1.51,1.35,1.03,6.47,1.35,1.27,3.93,4.52,12.19,5.66,6.43,6.68,10.24,2.83,6.54,10.67
b_1,1.21,1.35,1.15,1.3,6.98,2.94,5.13,3.76,6.05,5.14,6.31,1.98,8.72,6.06,5.37,7.84
a_1,1.7,1.35,1.19,1.06,1.15,10.78,4.46,5.3,6.33,6.11,6.43,5.85,9.28,8.52,2.77,10.2
h_1,1.51,2.25,1.67,1.43,1.28,1.73,15.57,7.14,6.39,8.19,6.92,8.05,6.61,7.15,8.8,14.04
g_1,1.33,1.37,2.62,1.37,1.43,1.16,6.16,18.65,6.59,7.66,12.63,7.34,10.6,8.88,7.5,6.8
d_0,3.27,1.53,0.78,1.59,1.56,1.51,4.82,5.14,15.31,5.12,8.32,7.28,10.48,7.25,7.44,10.59
c_0,0.97,1.76,2.0,1.43,1.14,1.57,6.08,6.14,6.95,16.66,8.91,17.78,12.2,9.13,9.16,14.92
f_0,1.82,0.9,2.05,1.38,1.6,1.79,5.88,5.45,6.11,7.96,18.23,8.94,10.95,15.02,9.23,12.11
b_0,1.62,2.08,1.73,1.61,0.73,1.1,5.79,6.52,7.82,7.69,6.9,18.37,14.23,9.43,15.4,12.65
h_0,1.51,2.19,1.76,1.54,1.44,1.47,3.45,9.16,7.81,7.4,7.18,7.46,7.03,7.61,8.48,16.41
e_0,1.81,2.0,1.9,0.58,1.78,1.56,7.3,6.33,5.91,5.91,7.57,8.47,13.44,25.7,8.63,11.16
a_0,1.82,1.71,2.14,1.38,1.34,0.87,6.51,5.51,7.15,6.39,5.22,5.96,12.31,6.73,23.75,12.4
g_0,1.77,1.32,2.6,1.36,1.58,1.24,5.2,3.54,7.27,8.02,10.69,7.77,12.35,7.5,7.71,7.77
