,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.85,1.31,1.58,1.95,3.31,22.11,30.37,42.74,49.38,51.88,51.58,74.45,96.93,107.78,134.94
f_1,1.18,1.0,0.97,1.59,1.39,3.15,13.94,19.48,26.55,30.41,41.49,39.67,60.36,57.97,66.4,116.12
d_1,0.76,1.03,1.0,1.2,1.73,3.53,16.76,19.26,35.74,39.37,37.23,40.19,60.56,63.85,101.94,78.15
c_1,0.63,0.63,0.83,1.0,1.64,2.45,12.87,12.99,11.73,17.17,31.0,26.43,51.1,55.35,60.14,77.54
b_1,0.51,0.72,0.58,0.61,1.0,2.61,11.81,13.24,18.75,19.6,29.45,31.26,41.54,51.29,43.42,74.91
a_1,0.3,0.32,0.28,0.41,0.38,1.0,5.34,7.15,9.37,12.35,13.44,13.36,25.7,25.54,34.29,35.16
h_1,0.04,0.08,0.06,0.08,0.09,0.19,1.0,1.94,1.67,1.96,2.39,2.61,4.89,5.1,5.15,9.44
g_1,0.03,0.05,0.05,0.07,0.07,0.13,0.52,1.0,1.27,1.14,2.27,2.0,3.18,3.13,3.11,6.41
c_0,0.02,0.04,0.03,,0.05,0.1,0.59,0.75,1.0,1.04,1.49,2.31,2.74,2.56,3.29,4.5
d_0,0.02,0.03,0.03,0.06,0.05,0.08,0.51,0.88,0.93,1.0,1.08,1.31,2.27,2.86,2.52,3.64
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.41,0.46,0.67,0.92,1.0,0.87,1.63,1.94,3.2,2.27
b_0,0.02,0.03,0.02,0.04,0.03,0.07,0.37,0.53,0.46,0.73,1.14,1.0,2.55,1.78,1.73,2.83
a_0,0.01,0.02,0.02,0.02,0.02,0.03,0.21,0.32,0.36,0.43,0.63,0.4,1.0,1.17,1.25,1.54
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.2,0.32,0.39,0.35,0.51,0.55,0.86,1.0,0.95,1.61
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.18,0.32,0.34,0.43,0.32,0.57,0.75,1.01,1.0,1.13
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.1,0.16,0.22,0.28,0.44,0.37,0.64,0.61,0.84,1.0
