,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.5,0.79,0.68,0.54,0.55,0.6,0.81,0.62,1.16,0.51,0.89,0.83,0.8,0.92,0.6,0.84
f_1,0.7,1.51,1.03,0.6,0.63,0.43,0.69,0.69,0.79,0.83,0.79,0.51,0.76,0.73,0.5,0.74
e_1,0.68,0.62,1.55,0.88,0.63,0.54,0.78,0.73,0.82,1.4,0.92,0.81,0.79,0.88,0.5,0.82
c_1,0.76,0.76,0.58,1.56,0.99,0.61,0.81,0.8,0.4,0.64,0.52,0.79,0.61,0.82,0.67,0.7
b_1,0.8,0.76,0.63,0.62,1.62,0.93,0.84,0.82,0.87,0.88,0.39,0.69,0.57,0.79,0.62,0.77
a_1,0.69,0.78,0.67,0.83,0.69,1.75,1.07,0.74,0.79,0.87,0.95,0.88,0.3,0.98,0.96,1.06
h_1,1.04,1.24,0.81,0.79,0.71,0.51,1.73,1.15,1.07,0.97,1.16,0.92,0.84,0.92,0.97,1.24
g_1,1.34,0.88,0.83,0.81,0.71,0.71,1.01,1.81,0.92,0.96,1.19,1.38,0.97,1.17,1.14,0.83
c_0,0.99,1.01,1.09,0.86,0.69,0.71,1.08,1.05,1.62,1.2,1.81,0.99,1.15,1.11,0.98,1.2
d_0,0.81,0.97,0.79,1.63,0.87,0.7,1.04,1.06,0.75,1.54,0.99,0.93,1.04,1.21,0.86,0.94
b_0,1.06,1.12,0.83,1.27,0.62,0.54,1.1,1.06,0.92,1.17,1.62,1.02,1.51,1.12,0.97,1.09
f_0,1.11,0.66,0.89,1.0,0.95,0.76,1.27,1.05,1.31,1.1,1.14,1.7,1.02,1.22,2.1,1.18
a_0,0.98,1.01,0.97,1.28,0.91,0.64,1.19,1.09,1.11,1.15,1.07,1.04,1.71,1.39,1.01,1.09
h_0,1.07,1.35,0.98,1.07,0.79,0.74,0.79,1.29,1.17,1.11,1.16,1.09,1.05,0.95,0.79,1.27
e_0,1.11,1.07,0.78,1.17,1.13,0.83,1.13,0.94,1.18,1.19,1.17,0.82,0.96,1.58,1.77,1.02
g_0,1.54,1.03,0.94,0.96,0.88,0.64,1.12,0.88,1.24,1.12,1.19,1.43,1.06,1.27,1.23,0.98
