,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.38,0.5,0.33,0.34,0.25,0.37,0.62,0.38,0.31,0.32,0.33,0.31,0.25,0.2,0.29
f_1,0.66,0.92,0.36,0.4,0.27,0.24,0.35,0.35,0.36,0.29,0.3,0.18,0.32,0.25,0.15,0.3
c_1,0.35,0.38,0.92,0.37,0.6,0.27,0.32,0.35,0.24,0.26,0.19,0.32,0.33,0.22,0.21,0.3
d_1,0.41,0.42,0.33,0.92,0.36,0.24,0.35,0.26,0.61,0.31,0.4,0.32,0.36,0.2,0.24,0.28
b_1,0.4,0.45,0.36,0.42,0.9,0.47,0.39,0.34,0.39,0.28,0.24,0.3,0.33,0.16,0.21,0.31
a_1,0.43,0.43,0.43,0.42,0.28,0.89,0.39,0.39,0.34,0.31,0.32,0.34,0.38,0.16,0.27,0.29
h_1,0.44,0.54,0.43,0.43,0.34,0.23,0.67,0.35,0.35,0.4,0.31,0.32,0.29,0.24,0.27,0.4
d_0,0.42,0.38,0.69,0.31,0.39,0.25,0.36,0.57,0.28,0.29,0.32,0.33,0.38,0.24,0.25,0.33
c_0,0.45,0.49,0.38,0.47,0.26,0.27,0.42,0.41,0.55,0.31,0.61,0.3,0.39,0.33,0.29,0.34
g_1,0.41,0.36,0.42,0.66,0.32,0.26,0.35,0.34,0.38,0.63,0.33,0.48,0.35,0.23,0.26,0.26
b_0,0.42,0.45,0.51,0.45,0.3,0.21,0.41,0.39,0.38,0.32,0.55,0.31,0.39,0.48,0.24,0.35
f_0,0.37,0.39,0.51,0.43,0.43,0.27,0.42,0.41,0.38,0.32,0.35,0.56,0.41,0.26,0.5,0.32
h_0,0.41,0.57,0.45,0.45,0.36,0.24,0.31,0.36,0.36,0.36,0.34,0.31,0.32,0.27,0.24,0.4
a_0,0.44,0.51,0.42,0.46,0.36,0.21,0.43,0.37,0.38,0.34,0.36,0.34,0.45,0.46,0.24,0.34
e_0,0.37,0.49,0.42,0.44,0.35,0.3,0.46,0.35,0.37,0.33,0.36,0.33,0.38,0.31,0.46,0.35
g_0,0.38,0.41,0.4,0.56,0.37,0.24,0.41,0.32,0.4,0.33,0.34,0.48,0.35,0.29,0.31,0.29
