,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.29,0.92,0.94,1.0,1.0,0.89,0.92,1.13,1.15,0.89,,0.84,0.89,1.19,1.06
e_1,0.77,1.0,0.92,0.92,0.86,0.92,1.06,1.4,1.13,1.28,0.85,1.05,0.88,0.95,,1.14
c_1,1.09,1.09,1.0,0.94,1.33,0.98,0.97,0.77,0.89,,1.08,1.15,1.11,0.83,0.78,1.0
d_1,1.06,1.09,1.06,1.0,1.0,0.95,0.88,,0.88,1.1,0.98,0.88,1.1,1.27,0.72,0.95
b_1,1.0,1.16,0.75,1.0,1.0,1.32,1.27,0.98,1.07,0.78,,0.94,1.13,0.78,0.71,1.13
a_1,1.0,1.09,1.02,1.05,0.76,1.0,1.16,1.11,,1.2,0.97,1.06,0.82,,,
h_1,1.12,0.94,1.03,1.14,0.79,0.86,1.0,1.1,1.05,1.02,1.04,0.85,,1.12,1.08,0.85
d_0,1.09,0.72,1.29,,1.02,0.9,0.91,1.0,1.05,0.88,1.02,1.13,1.29,0.85,1.05,1.04
g_1,0.89,0.89,1.13,1.14,0.93,,0.95,0.96,1.0,1.15,1.26,1.49,0.76,1.0,0.92,
c_0,0.87,0.78,,0.91,1.27,0.83,0.99,1.14,0.87,1.0,1.44,1.1,1.14,0.85,0.93,1.02
b_0,1.12,1.18,0.92,1.02,,1.03,0.96,0.98,0.79,0.69,1.0,1.0,0.94,,1.03,1.13
f_0,,0.95,0.87,1.14,1.06,0.94,1.18,0.88,0.67,0.91,1.0,1.0,1.2,1.41,1.57,0.62
h_0,1.19,1.14,0.9,0.91,0.89,1.22,,0.77,1.32,0.87,1.06,0.83,,0.9,0.87,1.41
a_0,1.13,1.05,1.21,0.79,1.28,,0.89,1.17,1.0,1.18,,0.71,1.11,1.0,,1.28
e_0,0.84,,1.28,1.38,1.41,,0.93,0.95,1.09,1.08,0.97,0.64,1.15,,1.0,
g_0,0.94,0.88,1.0,1.05,0.89,,1.18,0.96,,0.98,0.88,1.62,0.71,0.78,,
