,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.4,0.61,0.58,0.6,0.59,0.54,0.26,0.34,0.27,0.25,0.24,0.3,0.24,0.18,0.22,0.24
e_1,0.44,0.4,0.59,0.65,0.63,0.6,0.35,0.33,0.34,0.28,0.29,0.3,0.3,0.22,0.23,0.32
d_1,0.66,0.62,0.39,0.6,0.52,0.52,0.31,0.23,0.3,0.32,0.28,0.27,0.25,0.21,0.18,0.26
c_1,0.57,0.51,0.69,0.38,0.71,0.59,0.3,0.31,0.19,0.28,0.24,0.24,0.26,0.24,0.22,0.23
b_1,0.62,0.63,0.65,0.4,0.36,0.63,0.35,0.36,0.26,0.32,0.31,0.26,0.28,0.24,0.23,0.28
a_1,0.68,0.61,0.6,0.55,0.37,0.31,0.36,0.33,0.3,0.3,0.33,0.28,0.35,0.31,0.24,0.28
h_1,0.64,0.51,0.53,0.61,0.55,0.49,0.23,0.34,0.27,0.25,0.26,0.24,0.24,0.26,0.21,0.26
g_1,0.57,0.55,0.58,0.63,0.58,0.52,0.25,0.21,0.25,0.24,0.23,0.27,0.23,0.18,0.24,0.23
d_0,0.54,0.42,0.65,0.69,0.63,0.56,0.29,0.37,0.22,0.22,0.25,0.24,0.28,0.24,0.23,0.26
c_0,0.65,0.57,0.39,0.78,0.6,0.54,0.3,0.3,0.37,0.22,0.31,0.26,0.27,0.23,0.22,0.24
b_0,0.6,0.53,0.46,0.75,0.69,0.51,0.3,0.3,0.29,0.17,0.21,0.23,0.29,0.23,0.23,0.24
f_0,0.69,0.56,0.51,0.61,0.55,0.53,0.3,0.24,0.28,0.22,0.28,0.2,0.25,0.22,0.17,0.31
a_0,0.58,0.5,0.52,0.61,0.69,0.65,0.32,0.32,0.25,0.22,0.17,0.25,0.19,0.22,0.23,0.23
h_0,0.62,0.58,0.57,0.58,0.55,0.44,0.31,0.32,0.26,0.25,0.22,0.24,0.25,0.24,0.22,0.23
g_0,0.62,0.55,0.58,0.59,0.53,0.52,0.26,0.28,0.26,0.25,0.24,0.26,0.24,0.17,0.23,0.23
e_0,0.72,0.59,0.52,0.61,0.54,0.52,0.27,0.3,0.24,0.24,0.28,0.14,0.27,0.22,0.2,0.17
