,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,1.17,0.66,0.67,0.64,0.51,0.79,0.82,0.69,0.71,0.8,0.56,0.88,0.68,0.55,0.81
e_1,0.72,1.52,0.96,0.62,0.73,0.57,0.84,1.42,0.81,0.89,0.83,0.86,0.9,0.71,0.59,0.97
c_1,0.75,0.64,1.55,0.7,1.17,0.65,0.84,0.75,0.72,0.4,0.62,0.76,0.95,0.77,0.78,0.84
d_1,0.9,0.72,0.67,1.57,0.68,0.52,0.85,0.74,0.73,1.43,1.03,0.76,1.0,0.8,0.8,0.83
b_1,0.83,0.73,0.68,0.69,1.6,1.11,0.98,0.93,0.75,0.84,0.55,0.96,0.93,0.7,0.78,0.8
a_1,0.89,0.88,0.83,0.95,0.58,1.77,0.96,1.04,1.09,0.89,0.87,0.95,1.13,0.62,0.78,0.79
h_1,1.3,1.03,0.97,1.09,0.73,0.64,1.78,1.01,1.28,1.09,1.03,0.94,0.96,0.94,0.97,1.48
d_0,1.12,0.86,1.59,0.74,0.94,0.8,1.2,1.63,1.04,0.91,1.17,0.9,1.17,0.97,0.95,1.24
g_1,0.98,0.85,1.03,1.55,0.9,0.67,0.96,1.16,1.84,1.19,1.14,1.6,1.06,0.93,1.2,0.96
c_0,1.19,1.0,1.06,0.98,0.81,0.79,1.18,1.52,1.18,1.7,1.88,1.09,1.6,1.17,1.02,1.29
b_0,1.14,1.13,1.22,1.01,0.68,0.61,1.24,1.36,1.26,1.18,1.78,1.27,1.54,1.86,0.91,1.39
f_0,0.85,0.99,1.17,1.27,0.91,0.82,1.21,1.32,0.99,1.19,1.11,1.74,1.5,1.06,1.87,1.2
h_0,1.42,1.14,0.99,1.17,0.96,0.74,0.96,1.14,1.42,1.12,1.06,1.07,1.08,1.01,1.08,1.5
a_0,1.2,1.16,1.18,1.12,1.0,0.59,1.35,1.15,1.22,1.2,1.07,1.25,1.4,1.74,1.35,1.24
e_0,1.28,0.69,1.15,1.33,1.12,0.83,1.29,1.37,1.07,1.16,1.37,0.96,1.44,1.16,1.8,1.37
g_0,1.19,0.91,1.15,1.5,1.02,1.05,1.01,1.06,0.91,1.17,1.12,1.52,1.37,1.17,1.14,1.04
