,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.9,0.4,0.77,0.4,0.4,0.28,0.68,0.56,0.7,0.7,0.82,0.17,0.79,0.69,0.59,0.87
d_1,0.43,3.94,0.33,0.28,0.37,0.4,0.99,0.78,1.62,0.27,0.99,0.95,0.9,0.84,0.89,0.66
e_1,0.44,0.32,4.13,0.41,0.37,0.32,0.74,0.7,0.75,1.62,0.75,0.96,0.98,0.87,0.32,0.85
c_1,0.44,0.41,0.33,4.32,0.81,0.28,0.78,0.66,0.15,0.71,0.63,0.85,0.83,0.71,0.6,0.84
b_1,0.37,0.41,0.39,0.4,4.8,0.82,0.58,0.64,0.57,0.72,0.16,0.63,0.85,0.78,0.86,1.14
a_1,0.35,0.39,0.25,0.44,0.45,7.04,0.92,0.82,0.87,0.58,0.73,0.98,1.18,0.18,0.95,0.84
h_1,0.94,0.65,0.66,0.9,0.44,0.6,5.67,1.45,1.35,1.28,1.67,1.47,0.47,1.38,1.45,2.18
g_1,0.56,1.1,0.57,0.63,0.65,0.68,0.9,6.22,1.25,1.37,1.52,2.3,1.15,1.11,1.66,0.68
c_0,0.78,0.98,0.7,0.33,0.44,0.65,1.32,1.56,4.01,1.51,2.7,1.81,1.77,1.55,1.48,1.73
d_0,0.69,0.22,0.76,1.34,0.51,0.76,1.44,1.36,1.09,3.94,1.82,1.47,1.17,1.6,1.5,1.3
b_0,0.86,0.86,0.8,0.72,0.12,0.65,1.33,1.57,1.44,1.41,4.31,1.03,1.81,2.97,1.35,1.49
f_0,0.29,0.78,0.58,1.02,0.54,0.7,0.98,1.43,1.27,1.81,1.71,4.35,1.81,1.55,3.69,1.78
h_0,0.94,0.79,0.69,0.6,0.63,0.68,0.32,1.85,1.47,1.38,1.42,1.31,0.57,1.29,1.45,2.1
a_0,0.7,0.71,0.75,1.01,0.5,,1.14,1.44,1.73,1.47,1.29,1.47,1.67,6.08,1.4,1.29
e_0,0.82,0.82,0.29,0.57,0.55,0.79,1.56,1.74,1.8,1.75,1.82,1.1,1.76,1.78,6.1,1.38
g_0,0.64,1.05,0.57,0.77,0.6,0.61,1.09,0.58,1.44,1.15,1.36,2.29,1.31,1.14,1.81,
