,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.48,0.28,0.17,0.18,0.15,0.12,0.19,0.16,0.24,0.19,0.17,,0.21,0.13,0.17,0.12
e_1,0.15,1.48,0.15,0.17,0.12,0.09,0.19,0.18,0.21,0.32,0.23,0.2,0.22,0.17,0.16,
d_1,0.16,0.17,1.51,0.13,0.14,0.15,0.2,0.17,0.35,,0.18,0.21,0.26,0.12,0.18,0.17
c_1,0.17,0.17,0.19,1.55,0.24,0.13,0.22,0.2,,0.18,0.16,0.21,0.23,0.2,0.19,0.14
b_1,0.2,0.24,0.22,0.16,1.63,0.19,0.16,0.2,0.16,0.19,,0.17,0.26,0.18,0.22,0.14
a_1,0.16,0.22,0.2,0.19,0.16,1.77,0.25,,0.18,0.21,0.21,0.19,0.3,,0.2,
h_1,0.52,0.37,0.36,0.32,0.45,0.25,1.62,0.55,0.4,0.52,0.41,0.38,,0.35,0.62,0.35
g_1,0.47,0.35,0.51,0.39,0.27,,0.47,1.73,0.44,0.48,0.46,0.57,0.43,0.36,,0.4
c_0,0.47,0.44,0.37,,0.43,0.42,0.72,0.54,1.43,0.36,0.99,0.52,0.63,0.41,0.51,0.43
d_0,0.49,0.46,,0.75,0.46,0.41,0.56,0.39,0.63,1.41,0.47,0.54,0.56,0.32,0.64,0.42
b_0,0.48,0.44,0.51,0.47,,0.32,0.69,0.55,0.36,0.66,1.45,0.45,0.55,0.8,0.61,0.41
f_0,,0.36,0.52,0.47,0.5,0.39,0.56,0.44,0.62,0.59,0.58,1.5,0.55,0.59,0.39,0.85
h_0,0.73,0.61,0.51,0.6,0.46,0.38,,0.76,0.71,0.67,0.76,0.77,,0.6,1.0,0.54
a_0,0.69,0.45,0.61,0.41,0.38,,0.66,0.56,0.48,0.72,0.43,0.55,0.55,1.61,0.51,0.55
g_0,0.57,0.61,0.83,0.57,0.38,0.62,0.52,,0.89,0.73,0.72,1.04,0.74,0.63,,
e_0,0.63,,0.45,0.49,0.6,,0.56,0.53,0.62,0.67,0.62,0.42,0.78,0.6,,1.67
