,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,1.65,1.65,1.9,2.33,1.77,0.38,0.36,0.64,0.36,0.42,0.75,0.21,0.35,0.36,0.38
e_1,1.18,0.44,1.98,2.19,1.9,2.19,0.75,0.44,0.72,0.53,0.35,0.48,0.33,0.45,1.23,0.38
d_1,2.29,2.36,0.42,2.27,1.79,1.79,0.52,1.19,0.36,0.38,0.37,0.31,0.32,0.33,0.38,0.18
c_1,1.85,1.76,3.32,0.41,2.03,2.04,0.65,0.22,0.63,0.98,0.42,0.47,0.33,0.42,0.44,0.35
b_1,2.4,2.85,2.4,1.21,0.38,2.47,0.79,0.56,0.66,0.56,1.53,0.36,0.37,0.48,0.39,0.3
a_1,3.52,2.6,2.63,3.44,1.25,0.33,0.95,0.7,0.78,0.63,0.8,0.63,0.35,1.69,0.72,0.47
h_1,3.07,3.34,3.02,3.19,3.29,3.13,0.33,0.7,1.15,0.61,0.64,0.78,0.9,0.55,0.62,0.44
d_0,3.4,1.97,8.21,3.59,4.08,4.45,1.1,0.4,1.17,0.93,0.7,0.85,0.51,0.88,0.68,0.63
g_1,3.79,4.02,3.6,4.23,4.02,3.41,0.7,1.01,0.31,0.57,0.62,0.63,0.43,0.81,0.61,0.63
c_0,4.27,3.84,1.82,9.18,4.68,3.42,1.11,1.19,1.23,0.37,0.73,0.78,0.55,0.69,0.71,0.53
b_0,4.24,4.36,3.31,5.01,12.02,3.63,1.19,0.95,0.94,0.48,0.37,0.83,0.54,0.78,0.72,0.52
f_0,10.23,4.59,4.19,4.68,5.29,3.3,1.63,0.96,0.64,0.86,0.76,0.36,0.56,0.79,0.7,0.37
h_0,5.16,4.79,3.86,4.35,6.25,3.72,2.16,0.99,1.42,0.91,0.92,0.72,1.02,1.05,0.78,0.72
a_0,7.59,4.6,3.74,4.78,7.94,7.44,1.43,1.4,1.31,0.74,0.47,0.9,0.65,0.34,1.21,0.63
e_0,7.97,7.22,3.92,5.45,6.67,4.25,1.15,0.92,1.27,0.92,0.78,0.43,0.57,0.99,0.32,0.76
g_0,6.27,5.51,5.31,6.68,5.11,4.38,1.12,1.05,2.17,1.03,1.09,0.9,0.61,1.03,0.73,0.99
