,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.7,0.67,0.65,0.68,0.61,0.3,0.3,0.31,0.37,0.29,0.29,0.26,0.2,0.25,0.28
c_1,0.67,0.4,0.54,0.78,0.89,0.64,0.3,0.21,0.33,0.38,0.25,0.27,0.28,0.25,0.3,0.26
e_1,0.5,0.78,0.39,0.71,0.62,0.62,0.4,0.39,0.31,0.38,0.32,0.39,0.28,0.29,0.39,0.3
b_1,0.76,0.44,0.66,0.38,0.71,0.82,0.41,0.27,0.38,0.42,0.39,0.31,0.33,0.26,0.3,0.26
d_1,0.67,0.62,0.82,0.65,0.37,0.61,0.34,0.41,0.34,0.24,0.32,0.33,0.36,0.27,0.28,0.19
a_1,0.72,0.73,0.79,0.41,0.66,0.31,0.4,0.37,0.32,0.42,0.38,0.31,0.39,0.27,0.32,0.27
h_1,0.67,0.72,0.57,0.58,0.61,0.54,0.23,0.28,0.29,0.4,0.27,0.26,0.27,0.32,0.25,0.24
d_0,0.68,0.75,0.42,0.69,0.72,0.59,0.36,0.24,0.26,0.36,0.25,0.27,0.26,0.23,0.35,0.24
c_0,0.66,1.03,0.64,0.65,0.4,0.62,0.37,0.44,0.22,0.33,0.32,0.28,0.35,0.26,0.31,0.22
g_1,0.6,0.63,0.62,0.59,0.72,0.58,0.26,0.29,0.3,0.21,0.29,0.31,0.27,0.19,0.28,0.29
b_0,0.6,0.94,0.6,0.77,0.51,0.57,0.35,0.37,0.19,0.32,0.21,0.27,0.33,0.24,0.27,0.23
f_0,0.91,0.71,0.63,0.6,0.49,0.56,0.36,0.3,0.26,0.24,0.29,0.21,0.3,0.25,0.3,0.17
a_0,0.69,0.68,0.62,0.74,0.54,0.79,0.35,0.32,0.22,0.38,0.16,0.26,0.19,0.25,0.26,0.22
h_0,0.65,0.65,0.59,0.64,0.62,0.59,0.36,0.28,0.26,0.33,0.27,0.25,0.25,0.27,0.26,0.23
e_0,0.78,0.65,0.8,0.54,0.58,0.57,0.38,0.27,0.27,0.33,0.29,0.17,0.28,0.23,0.18,0.19
g_0,0.63,0.64,0.61,0.62,0.63,0.61,0.3,0.32,0.28,0.39,0.27,0.31,0.3,0.2,0.27,0.25
