,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.88,1.24,0.99,0.9,0.75,0.63,0.68,0.66,0.6,0.61,0.55,0.51,0.62,0.57,0.43
d_1,1.12,1.0,1.07,0.92,0.95,0.74,0.68,0.59,0.63,0.79,0.59,0.66,0.6,0.48,0.55,0.52
e_1,0.82,0.93,1.0,1.13,0.94,0.92,0.74,0.73,0.91,0.66,0.72,0.7,0.62,0.6,0.63,0.74
c_1,0.98,1.13,0.88,1.0,1.27,0.79,0.7,0.65,0.49,0.58,0.64,0.53,0.63,0.6,0.53,0.55
b_1,1.11,1.05,1.03,0.8,1.0,1.29,0.8,0.72,0.64,0.72,0.67,0.66,0.61,0.64,0.54,0.62
a_1,1.3,1.31,1.08,1.27,0.79,1.0,0.88,0.8,0.87,0.7,0.79,0.82,0.74,0.7,0.67,0.7
h_1,1.57,1.46,1.32,1.39,1.25,1.16,1.0,1.06,0.91,0.81,0.83,0.87,0.83,0.9,0.7,0.77
g_1,1.46,1.72,1.35,1.53,1.49,1.22,0.92,1.0,0.87,0.97,1.01,1.04,0.79,0.77,0.78,0.87
d_0,1.47,1.64,1.14,1.96,1.62,1.23,1.1,1.14,1.0,0.8,0.93,0.88,0.88,0.91,0.89,0.83
c_0,1.7,1.27,1.49,1.8,1.4,1.41,1.21,1.02,1.26,1.0,1.01,1.29,0.97,0.88,1.02,0.97
f_0,1.64,1.68,1.43,1.56,1.47,1.3,1.14,1.02,1.08,1.0,1.0,0.99,0.96,0.73,0.85,1.23
b_0,1.85,1.58,1.43,1.77,1.54,1.18,1.15,1.02,1.08,0.76,1.02,1.0,1.03,0.89,1.24,0.85
h_0,1.95,1.65,1.63,1.57,1.64,1.37,1.26,1.19,1.11,0.98,1.02,0.98,1.0,1.12,0.88,0.86
g_0,1.58,2.07,1.66,1.71,1.51,1.51,1.15,1.25,1.09,1.13,1.26,1.08,0.9,1.0,0.99,0.94
a_0,1.73,1.84,1.67,1.86,1.79,1.55,1.41,1.28,1.09,0.97,1.19,0.84,1.16,1.01,1.0,0.97
e_0,2.22,1.86,1.39,1.75,1.66,1.42,1.31,1.15,1.16,1.06,0.89,1.2,1.16,1.07,1.11,1.0
