,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.67,1.27,1.33,1.18,1.15,0.37,0.4,0.28,0.25,0.23,0.35,0.25,0.17,0.33,0.17
f_1,1.06,0.41,1.24,1.26,1.22,1.06,0.24,0.37,0.24,0.27,0.25,0.38,0.23,0.12,0.21,0.22
c_1,0.98,1.19,0.41,1.37,1.27,1.21,0.39,0.35,0.15,0.26,0.37,0.25,0.25,0.18,0.22,0.17
d_1,1.5,1.26,1.3,0.4,1.3,1.03,0.33,0.22,0.46,0.24,0.23,0.25,0.23,0.16,0.22,0.11
b_1,1.48,1.56,0.78,1.34,0.38,1.35,0.36,0.41,0.26,0.48,0.36,0.24,0.25,0.22,0.3,0.22
a_1,1.46,1.71,1.51,1.4,0.76,0.34,0.55,0.56,0.38,0.44,0.34,0.37,0.54,0.25,0.42,0.27
h_1,2.2,2.79,2.09,1.89,2.03,1.58,0.3,0.59,0.49,0.45,0.44,0.43,0.45,0.42,0.42,0.36
g_1,2.59,2.32,2.29,2.16,2.45,1.98,0.55,0.28,0.58,0.53,0.5,0.46,0.52,0.24,0.44,0.54
d_0,1.5,2.27,2.56,3.26,2.73,2.57,0.79,0.94,0.34,0.6,0.53,0.63,0.51,0.41,0.52,0.37
b_0,2.31,2.39,3.42,1.82,3.98,2.24,0.73,0.62,0.56,0.31,0.28,0.51,0.46,0.34,0.43,0.3
c_0,2.7,2.6,4.59,1.42,2.67,2.85,0.73,0.66,0.85,0.46,0.31,0.53,0.45,0.38,0.51,0.35
f_0,2.89,4.38,2.24,2.33,2.87,2.86,0.78,0.47,0.56,0.49,0.51,0.29,0.51,0.4,0.48,0.25
a_0,2.97,3.26,3.13,2.78,4.38,3.53,0.84,0.9,0.65,0.32,0.46,0.56,0.3,0.44,0.42,0.37
h_0,3.02,3.03,3.1,2.96,2.97,2.5,1.08,0.88,0.6,0.58,0.55,0.62,0.51,0.61,0.49,0.44
e_0,4.59,4.49,2.91,2.61,3.54,2.93,0.76,0.65,0.65,0.71,0.58,0.32,0.68,0.52,0.28,0.42
g_0,3.28,3.66,3.04,3.38,3.28,3.27,0.72,1.29,0.83,0.66,0.64,0.67,0.55,0.38,0.57,0.56
