,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.22,0.92,1.0,0.85,0.72,0.63,0.64,0.69,0.58,0.6,0.6,0.53,0.51,0.49,0.57
e_1,0.82,1.0,0.87,1.23,1.01,0.79,0.74,0.92,0.71,0.61,0.67,0.64,0.58,0.61,0.65,0.57
d_1,1.09,1.12,1.0,0.87,0.89,0.84,0.72,0.66,0.53,0.84,0.65,0.67,0.58,0.57,0.59,0.48
c_1,1.0,0.84,1.17,1.0,1.31,0.9,0.7,0.51,0.69,0.61,0.63,0.55,0.59,0.56,0.57,0.58
b_1,1.15,1.0,1.1,0.77,1.0,1.3,0.76,0.62,0.72,0.7,0.65,0.61,0.57,0.65,0.57,0.63
a_1,1.37,1.25,1.17,1.11,0.78,1.0,0.95,0.83,0.85,0.82,0.75,0.95,0.79,0.73,0.66,0.66
h_1,1.59,1.39,1.39,1.39,1.33,1.07,1.0,0.88,1.04,0.84,0.86,0.82,0.73,0.83,0.76,0.86
d_0,1.52,1.12,1.51,1.95,1.63,1.19,1.13,1.0,1.05,0.88,0.88,0.97,0.86,0.96,0.88,0.89
g_1,1.49,1.42,1.81,1.43,1.39,1.18,0.96,0.96,1.0,0.92,1.05,0.95,0.88,0.81,0.93,0.94
c_0,1.71,1.57,1.25,1.58,1.43,1.12,1.19,1.09,1.05,1.0,0.98,1.24,1.01,0.97,0.93,0.88
f_0,1.63,1.48,1.58,1.59,1.52,1.34,1.22,1.12,0.94,0.98,1.0,1.05,0.97,0.93,1.31,0.71
b_0,1.6,1.57,1.48,1.75,1.71,1.0,1.18,1.04,1.01,0.82,0.97,1.0,1.31,1.02,0.93,0.88
a_0,1.88,1.69,1.67,1.73,1.81,1.29,1.31,1.18,1.07,1.04,1.02,0.82,1.0,1.13,1.06,1.0
h_0,1.97,1.7,1.69,1.71,1.57,1.34,1.24,1.05,1.21,1.05,1.01,1.09,0.88,1.0,0.96,1.08
e_0,1.97,1.44,1.68,1.81,1.71,1.48,1.23,1.02,1.13,1.06,0.84,1.11,1.0,1.08,1.0,0.84
g_0,1.76,1.71,2.05,1.75,1.52,1.53,1.16,1.11,1.08,1.12,1.51,1.19,1.01,0.95,1.16,1.0
