,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.26,0.52,0.47,0.56,0.46,0.16,0.1,0.13,0.08,0.1,0.12,0.07,0.09,0.13,0.08
f_1,0.42,0.16,0.43,0.42,0.43,0.36,0.09,0.1,0.16,0.09,0.1,0.12,0.05,0.08,0.08,0.07
c_1,0.34,0.45,0.15,0.63,0.45,0.4,0.12,0.05,0.14,0.13,0.08,0.09,0.07,0.09,0.08,0.07
d_1,0.5,0.43,0.48,0.15,0.48,0.45,0.12,0.19,0.07,0.09,0.08,0.09,0.06,0.08,0.09,0.04
b_1,0.49,0.54,0.24,0.48,0.13,0.49,0.13,0.09,0.15,0.15,0.16,0.1,0.09,0.09,0.1,0.07
a_1,0.51,0.59,0.46,0.48,0.21,0.09,0.14,0.11,0.17,0.1,0.15,0.1,0.08,0.2,0.1,0.07
h_1,0.44,0.41,0.41,0.38,0.37,0.33,0.05,0.07,0.1,0.08,0.08,0.07,0.07,0.08,0.06,0.06
d_0,0.24,0.37,0.4,0.6,0.44,0.46,0.13,0.05,0.15,0.09,0.09,0.09,0.07,0.07,0.1,0.08
g_1,0.4,0.41,0.44,0.35,0.43,0.45,0.09,0.09,0.04,0.07,0.08,0.07,0.05,0.07,0.07,0.07
c_0,0.42,0.38,0.78,0.22,0.43,0.39,0.15,0.14,0.1,0.05,0.08,0.08,0.06,0.08,0.08,0.06
b_0,0.34,0.37,0.6,0.31,0.65,0.35,0.12,0.1,0.11,0.05,0.05,0.08,0.06,0.09,0.08,0.06
f_0,0.37,0.62,0.39,0.36,0.42,0.38,0.13,0.09,0.07,0.08,0.08,0.04,0.06,0.08,0.07,0.03
h_0,0.41,0.43,0.41,0.36,0.35,0.35,0.12,0.09,0.13,0.08,0.08,0.08,0.07,0.07,0.06,0.04
a_0,0.36,0.4,0.46,0.32,0.5,0.53,0.12,0.11,0.11,0.07,0.04,0.07,0.05,0.04,0.08,0.06
e_0,0.52,0.62,0.41,0.38,0.37,0.31,0.1,0.09,0.09,0.08,0.07,0.04,0.05,0.06,0.04,0.05
g_0,0.45,0.39,0.38,0.39,0.38,0.38,0.08,0.1,0.13,0.08,0.08,0.08,0.04,0.07,0.07,0.06
