,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.38,1.14,1.16,0.83,0.95,0.78,1.97,1.74,3.74,1.78,2.62,2.16,2.93,2.9,1.82,1.67
e_1,0.98,2.38,1.09,1.23,0.92,0.85,2.17,1.78,2.19,3.55,2.32,2.25,2.71,2.62,1.95,1.49
f_1,0.99,1.65,2.41,1.07,0.97,0.73,1.77,1.57,1.82,2.16,1.8,1.49,2.5,2.11,1.74,1.31
c_1,1.03,0.95,1.13,2.51,1.73,0.89,1.74,1.77,1.19,1.94,1.33,1.76,2.82,2.36,1.54,1.88
b_1,1.12,1.0,1.13,1.01,2.64,1.69,1.73,1.64,1.8,2.08,1.4,1.92,2.59,2.29,1.1,1.85
a_1,1.13,1.1,1.12,1.04,0.98,3.13,2.04,1.82,2.38,2.38,2.44,2.17,3.08,2.11,1.39,1.69
h_1,1.29,1.04,1.45,0.96,1.05,0.84,3.56,2.55,2.44,2.05,2.35,2.38,2.33,3.26,2.13,2.09
g_1,1.74,1.14,1.15,0.91,0.99,0.78,1.96,3.78,2.31,1.71,2.25,2.81,2.71,2.12,1.99,2.05
c_0,1.31,1.27,1.37,0.85,0.79,0.75,2.36,1.87,3.48,2.18,3.95,2.35,3.21,2.91,2.7,2.08
d_0,0.9,1.08,1.29,1.89,1.02,0.82,2.0,1.82,1.42,3.24,1.88,2.07,2.91,2.75,1.95,2.1
b_0,1.24,1.17,1.31,1.29,0.82,0.51,2.13,1.93,2.25,2.45,3.56,2.06,3.4,3.0,3.87,2.05
f_0,1.4,1.04,1.04,1.2,0.93,0.88,2.06,2.18,2.46,2.48,2.42,3.56,3.28,2.98,2.06,3.51
h_0,1.25,1.21,1.56,1.11,0.93,0.86,1.53,2.29,2.2,2.18,2.18,1.83,2.21,3.57,1.57,2.04
g_0,1.6,1.04,1.15,1.05,0.96,0.99,2.09,1.58,2.46,2.09,2.43,3.28,2.66,2.46,1.91,2.22
a_0,1.23,1.14,1.25,1.33,1.14,0.6,2.24,1.83,2.16,2.06,2.06,2.36,3.41,3.1,3.8,1.84
e_0,1.23,0.92,1.33,1.15,1.09,0.91,2.19,2.03,2.13,2.0,2.41,2.13,3.55,2.77,1.98,3.79
