,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.14,10.29,13.34,10.54,12.45,8.38,3.7,3.8,1.21,7.29,2.89,2.72,1.72,2.33,1.95,1.54
f_1,11.09,1.14,11.33,11.45,10.33,12.76,2.06,4.46,2.35,2.19,8.39,1.84,1.25,2.14,1.9,2.31
d_1,14.15,9.93,1.14,15.64,15.36,13.65,3.11,2.02,9.38,2.1,1.97,2.22,1.97,2.91,1.9,0.99
e_1,11.68,6.82,16.39,1.14,11.96,13.84,3.8,3.57,2.29,2.72,2.66,2.36,1.82,19.89,2.39,1.78
b_1,6.59,15.69,13.72,13.04,1.15,15.02,5.26,4.63,3.35,3.73,2.33,16.94,1.71,2.21,3.41,1.96
a_1,34.13,32.4,24.64,20.36,9.4,1.15,4.84,6.81,4.41,4.82,3.25,5.41,2.78,4.97,18.4,3.47
h_1,24.17,25.68,23.77,30.83,23.64,27.49,1.91,7.08,7.74,5.32,5.65,6.25,13.07,3.53,4.84,4.63
g_1,34.81,30.15,27.67,32.66,37.82,28.71,7.75,1.91,6.53,5.77,7.26,5.41,2.99,7.13,8.0,10.52
d_0,35.89,46.85,84.4,15.27,32.89,30.5,11.83,10.31,2.75,7.12,9.26,5.59,4.84,8.22,8.0,5.42
c_0,133.88,40.79,17.05,38.81,40.89,35.49,10.02,9.63,9.25,2.62,6.71,6.48,6.22,9.0,9.95,5.6
f_0,38.25,157.59,36.3,39.27,39.3,43.38,10.78,6.75,9.79,7.2,2.66,8.61,6.64,8.4,11.87,4.45
b_0,55.25,36.88,30.69,38.81,137.55,54.22,11.21,12.45,8.12,4.19,6.63,2.73,6.03,7.71,15.33,5.6
h_0,55.25,58.76,56.27,44.58,61.76,57.41,47.33,18.05,13.06,11.33,14.13,10.1,17.04,10.5,12.27,8.26
e_0,56.15,115.57,41.68,,58.19,39.04,18.52,11.46,13.06,9.27,5.77,9.91,10.59,2.59,11.87,9.38
a_0,69.62,55.92,53.59,62.25,61.76,,16.71,14.73,13.06,9.71,12.2,6.1,7.4,10.5,2.9,8.46
g_0,69.62,77.04,58.21,49.24,77.59,57.41,14.69,36.1,14.48,9.87,12.79,11.67,7.26,12.6,10.22,20.41
