,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.99,1.56,1.36,1.76,2.21,17.52,28.74,29.28,28.56,41.25,39.98,51.72,85.8,73.44,117.79
d_1,1.0,1.0,0.95,1.06,1.32,2.64,19.09,23.27,22.79,43.12,35.49,45.75,66.13,90.26,103.38,84.44
e_1,0.64,1.06,1.0,1.39,1.43,2.94,16.83,36.51,28.89,25.59,37.21,53.97,70.76,79.25,114.71,109.7
c_1,0.73,0.96,0.72,1.0,1.74,2.47,11.86,15.3,22.09,20.93,25.76,35.77,55.04,67.51,68.59,86.6
b_1,0.57,0.76,0.7,0.57,1.0,2.53,13.48,17.49,16.99,21.09,22.7,27.83,48.63,49.38,77.58,77.53
a_1,0.45,0.38,0.34,0.41,0.4,1.0,6.46,9.24,11.34,10.46,12.65,16.72,25.27,30.76,41.7,34.98
h_1,0.06,0.05,0.06,0.08,0.07,0.15,1.0,1.34,1.75,1.59,1.99,2.59,3.56,4.06,5.49,7.49
d_0,0.03,0.04,0.03,0.06,0.06,0.11,0.76,1.0,0.94,0.93,1.53,1.82,2.33,3.04,4.16,3.96
g_1,0.03,0.04,0.03,0.05,0.06,0.09,0.59,1.02,1.0,1.07,1.38,2.25,2.18,3.55,3.62,4.78
c_0,0.03,0.02,0.04,0.05,0.05,0.09,0.63,1.08,0.94,1.0,1.89,1.6,2.44,2.73,3.51,3.73
b_0,0.03,0.03,0.03,0.04,0.04,0.08,0.49,0.64,0.73,0.53,1.0,1.22,1.98,3.33,3.1,2.89
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.36,0.55,0.47,0.64,0.78,1.0,1.39,1.78,3.35,1.84
h_0,0.02,0.02,0.01,0.02,0.02,0.04,0.28,0.43,0.49,0.41,0.5,0.73,1.0,1.08,1.35,2.03
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.25,0.32,0.3,0.4,0.3,0.6,0.95,1.0,1.02,1.31
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.19,0.25,0.28,0.29,0.34,0.32,0.7,1.06,1.0,0.96
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.21,0.28,0.34,0.52,0.47,0.75,1.02,1.0
