,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,17.86,0.51,0.62,0.4,0.52,0.57,0.95,0.28,0.85,2.0,1.12,1.07,0.98,1.15,1.05,1.07
e_1,0.42,17.25,0.55,0.72,0.5,0.59,0.85,2.08,0.88,0.8,0.91,1.11,1.06,1.06,0.45,0.85
f_1,0.55,1.13,18.1,0.53,0.38,0.51,0.81,0.76,0.92,0.91,0.3,0.85,0.73,0.89,0.59,0.66
c_1,0.5,0.52,0.56,18.66,1.12,0.38,0.75,0.88,0.71,0.27,0.89,0.6,1.05,0.79,0.77,1.11
b_1,0.54,0.43,0.45,0.56,23.4,1.22,0.93,0.73,0.75,0.8,0.85,0.32,0.77,0.57,1.05,1.1
a_1,0.57,0.52,0.38,0.49,0.64,31.44,0.98,1.14,1.02,1.05,1.25,1.03,1.06,0.35,1.31,0.89
h_1,0.77,0.48,1.24,0.77,0.57,0.47,5.77,1.02,1.68,1.04,0.93,1.11,0.6,1.21,1.15,1.54
d_0,0.36,0.62,0.65,2.01,0.81,0.75,1.1,2.81,0.85,0.72,1.12,1.07,1.16,0.83,1.0,1.1
g_1,1.26,0.56,0.54,0.57,0.62,0.6,0.73,1.13,7.26,0.98,2.06,1.27,1.4,1.32,1.41,0.52
c_0,0.74,0.63,0.93,0.37,0.49,0.6,1.45,1.3,1.04,3.6,1.29,3.85,1.43,1.49,1.46,1.71
f_0,0.79,0.52,0.39,0.86,0.76,0.69,1.14,1.29,1.47,0.98,3.72,1.38,1.52,1.38,3.18,1.18
b_0,0.84,0.63,1.03,0.81,0.21,0.4,1.09,1.27,1.09,0.98,1.33,3.8,1.54,3.05,1.39,1.08
h_0,0.92,0.6,1.25,0.64,0.61,0.57,0.57,1.1,1.35,1.0,1.21,1.25,0.71,0.98,1.2,1.54
a_0,0.91,0.61,0.86,0.63,0.53,0.24,1.47,1.21,0.83,1.34,1.62,1.07,1.43,4.89,1.56,1.31
e_0,1.04,0.22,0.79,0.83,0.58,0.67,1.47,1.24,1.12,1.15,1.33,1.24,1.58,1.43,5.07,1.48
g_0,1.46,0.52,0.67,0.57,0.63,0.61,1.14,0.82,0.75,1.16,2.42,1.51,1.48,1.29,1.22,0.9
