,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.91,0.36,0.28,0.24,0.25,0.17,0.33,0.53,0.26,0.2,0.33,0.26,0.32,0.22,0.27,0.2
f_1,0.31,0.91,0.56,0.25,0.2,0.17,0.28,0.24,0.21,0.3,0.24,0.13,0.28,0.17,0.22,0.13
e_1,0.31,0.35,0.9,0.35,0.27,0.17,0.28,0.27,0.21,0.51,0.28,0.26,0.32,0.19,0.24,0.12
c_1,0.37,0.29,0.29,0.9,0.46,0.16,0.22,0.18,0.21,0.28,0.17,0.21,0.29,0.15,0.22,0.2
b_1,0.37,0.31,0.29,0.22,0.9,0.38,0.28,0.3,0.23,0.25,0.2,0.27,0.28,0.16,0.25,0.17
a_1,0.36,0.37,0.31,0.32,0.24,0.88,0.3,0.28,0.26,0.27,0.29,0.24,0.3,0.11,0.28,0.16
h_1,0.4,0.45,0.34,0.35,0.21,0.17,0.61,0.31,0.37,0.29,0.26,0.26,0.24,0.2,0.32,0.2
c_0,0.42,0.4,0.36,0.23,0.23,0.21,0.35,0.52,0.31,0.32,0.57,0.25,0.34,0.29,0.31,0.22
g_1,0.56,0.32,0.29,0.3,0.24,0.17,0.3,0.32,0.59,0.23,0.27,0.37,0.32,0.21,0.21,0.24
d_0,0.28,0.36,0.34,0.54,0.32,0.2,0.3,0.24,0.23,0.49,0.28,0.24,0.31,0.17,0.25,0.16
b_0,0.4,0.4,0.38,0.35,0.19,0.17,0.33,0.33,0.28,0.3,0.5,0.29,0.34,0.43,0.3,0.24
f_0,0.45,0.3,0.27,0.34,0.3,0.2,0.34,0.36,0.34,0.29,0.29,0.51,0.34,0.25,0.3,0.42
h_0,0.42,0.49,0.36,0.31,0.28,0.18,0.26,0.3,0.31,0.3,0.28,0.25,0.26,0.22,0.36,0.2
a_0,0.43,0.39,0.36,0.32,0.26,0.12,0.4,0.34,0.28,0.29,0.29,0.27,0.37,0.45,0.33,0.23
g_0,0.6,0.32,0.28,0.31,0.25,0.17,0.31,0.35,0.25,0.24,0.27,0.43,0.32,0.2,0.26,0.22
e_0,0.41,0.43,0.27,0.32,0.25,0.22,0.37,0.34,0.33,0.32,0.31,0.25,0.36,0.19,0.26,0.41
