,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.26,0.92,0.9,1.02,0.97,0.97,1.09,1.09,0.87,0.97,1.02,0.89,0.78,0.99,0.87
e_1,0.8,1.0,1.14,0.98,0.94,0.99,1.0,1.0,1.33,0.99,1.13,1.01,1.06,1.1,1.0,1.04
c_1,1.08,0.87,1.0,1.04,1.27,0.8,1.02,1.13,0.74,0.92,0.95,0.73,1.14,1.14,0.91,1.21
d_1,1.12,1.03,0.96,1.0,1.1,0.78,1.04,0.81,1.15,1.43,0.88,0.89,1.06,0.96,0.79,0.85
b_1,0.98,1.07,0.79,0.91,1.0,1.58,1.1,0.98,1.02,1.19,0.95,1.03,0.95,0.97,1.05,0.94
a_1,1.03,1.01,1.24,1.28,0.63,1.0,0.97,1.08,0.91,0.89,1.09,1.31,1.09,1.33,0.96,0.91
h_1,1.03,0.99,0.98,0.97,0.92,1.06,1.0,1.25,0.92,0.96,1.16,0.99,0.89,1.1,0.85,1.23
g_1,0.95,0.93,0.89,1.28,0.99,0.91,0.79,1.0,0.96,0.95,1.39,1.06,0.73,0.82,1.04,1.2
d_0,0.94,0.75,1.35,0.86,1.05,1.13,1.07,0.97,1.0,0.88,1.01,1.01,0.96,1.0,1.27,1.15
c_0,1.18,1.0,1.14,0.75,0.87,1.18,1.06,1.07,1.1,1.0,1.09,1.51,1.13,0.92,1.16,1.23
f_0,0.97,0.85,1.07,1.1,1.08,0.94,0.88,0.7,1.03,0.9,1.0,1.22,1.08,1.24,0.95,0.8
b_0,1.04,0.96,1.39,1.07,0.88,0.75,1.03,0.98,0.98,0.62,0.8,1.0,1.08,0.79,1.54,0.98
h_0,1.13,0.9,0.94,0.96,1.04,0.91,1.12,1.34,1.01,0.87,0.93,0.9,1.0,1.05,1.04,1.22
e_0,1.36,0.84,0.89,1.09,0.95,0.71,0.93,1.21,0.89,1.05,0.71,1.4,0.93,1.0,1.13,0.96
a_0,0.99,0.95,1.17,1.25,0.9,0.96,1.17,0.89,0.74,0.96,1.01,0.69,0.93,0.83,1.0,1.12
g_0,1.11,0.92,0.85,1.13,1.02,1.07,0.82,0.83,0.91,0.79,1.2,1.02,0.8,1.04,0.88,1.0
