,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.38,0.82,0.97,0.89,0.75,0.38,0.43,0.42,0.38,0.47,,0.26,0.37,0.35,0.36
e_1,0.73,1.0,0.94,1.15,0.89,0.64,0.56,0.5,0.53,0.43,0.35,0.41,0.3,0.32,0.37,
d_1,1.21,1.06,1.0,0.94,0.92,0.86,0.53,,0.3,0.58,0.41,0.32,0.41,0.35,0.24,0.29
c_1,1.03,0.87,1.06,1.0,1.12,0.86,0.52,0.33,0.61,,0.36,0.48,0.43,0.38,0.27,
b_1,1.13,1.12,1.09,0.9,1.0,,0.63,0.58,0.52,0.49,,0.44,0.34,,0.37,0.36
a_1,1.34,1.56,1.16,1.16,,1.0,0.71,0.77,0.71,0.69,0.56,0.5,0.58,,0.4,
h_1,2.6,1.77,1.9,1.94,1.59,1.42,1.0,0.79,0.92,0.82,0.62,0.6,,0.69,0.81,0.55
d_0,2.31,2.02,,3.07,1.72,1.3,1.27,1.0,1.14,1.08,0.74,0.74,1.01,0.64,0.81,0.59
g_1,2.38,1.88,3.38,1.65,1.92,1.41,1.08,0.88,1.0,0.95,1.05,1.33,0.71,,,
c_0,2.63,2.31,1.72,,2.05,1.45,1.22,0.92,1.05,1.0,1.38,0.78,0.8,0.87,0.73,0.82
b_0,2.14,2.85,2.43,2.75,,1.79,1.62,1.34,0.95,0.72,1.0,0.92,0.81,1.27,0.87,0.72
f_0,,2.41,3.14,2.09,2.29,1.99,1.66,1.34,0.75,1.28,1.08,1.0,1.25,0.87,0.56,1.09
h_0,3.86,3.37,2.45,2.34,2.93,1.72,,0.99,1.41,1.25,1.23,0.8,,0.82,1.14,0.87
a_0,2.69,3.08,2.82,2.62,,,1.46,1.57,,1.15,0.79,1.16,1.22,1.0,1.16,
g_0,2.88,2.67,4.09,3.74,2.7,2.53,1.23,1.23,,1.36,1.14,1.8,0.88,0.86,,
e_0,2.78,,3.47,,2.78,,1.82,1.7,,1.22,1.39,0.92,1.15,,,1.0
