,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.77,0.88,1.3,1.08,0.93,1.04,1.08,1.38,1.01,1.19,1.05,1.02,1.06,1.1,1.11
f_1,1.33,1.0,0.92,0.94,0.99,0.81,0.88,1.08,0.99,0.95,0.93,0.98,0.87,0.81,0.95,0.92
d_1,1.12,1.11,1.0,0.88,0.91,0.95,1.02,0.83,1.14,1.22,0.95,1.09,0.97,1.03,0.9,1.02
c_1,0.77,1.07,1.15,1.0,1.27,1.07,0.99,0.95,0.71,0.75,0.92,0.84,1.01,0.95,0.95,0.95
b_1,0.94,1.01,1.08,0.79,1.0,1.37,1.03,1.08,1.0,1.13,0.92,0.92,1.17,1.06,1.07,0.96
a_1,1.06,1.18,1.06,0.94,0.74,1.0,1.13,1.09,1.01,1.12,1.06,1.09,1.07,0.99,1.11,1.04
h_1,0.93,1.14,0.95,1.04,0.95,0.86,1.0,1.13,0.92,0.97,0.93,1.01,0.98,0.82,1.1,0.91
g_1,0.87,0.95,1.21,1.08,0.93,0.92,0.85,1.0,0.86,0.95,1.29,1.03,0.89,0.98,1.06,0.91
d_0,0.73,1.01,0.91,1.37,1.03,0.95,1.05,1.08,1.0,0.79,1.04,0.92,0.94,1.04,1.07,0.96
c_0,1.01,1.03,0.82,1.22,0.9,0.88,1.04,1.07,1.23,1.0,1.15,1.39,1.14,1.04,0.98,1.12
f_0,0.81,1.0,1.08,1.07,1.11,0.99,1.02,0.76,0.95,0.92,1.0,1.0,0.95,1.49,0.83,1.03
b_0,0.94,1.01,0.88,1.2,1.11,0.87,1.01,1.0,1.06,0.7,1.11,1.0,1.13,0.99,1.05,1.33
h_0,0.97,1.17,1.07,1.02,0.87,0.9,1.0,1.14,0.96,0.86,1.06,0.87,1.0,0.98,1.18,0.91
e_0,0.88,1.26,0.99,1.02,0.96,1.0,1.16,0.97,1.05,0.95,0.66,0.93,1.08,1.0,0.94,0.85
g_0,0.91,1.04,1.1,1.04,0.97,0.88,0.9,0.94,0.91,0.96,1.18,1.0,0.85,1.12,1.0,0.94
a_0,0.91,1.05,1.02,1.05,1.08,1.01,1.07,1.11,0.93,0.91,0.93,0.76,1.09,1.1,1.01,1.0
