,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.08,2.61,2.85,2.39,2.31,2.19,0.57,0.45,0.51,0.48,0.82,0.46,0.3,0.42,0.42,0.23
f_1,2.43,1.09,2.28,2.6,2.34,2.17,0.55,0.77,0.54,0.5,0.54,0.61,0.31,0.49,0.5,0.39
e_1,2.53,1.56,1.09,2.73,2.39,2.25,0.75,0.88,0.57,0.54,0.55,0.71,0.41,0.54,0.83,0.42
c_1,3.46,2.92,2.09,1.1,2.65,2.56,0.83,0.86,0.69,0.55,0.32,0.51,0.41,0.59,0.53,0.36
b_1,3.18,3.37,3.03,1.81,1.11,3.42,0.94,0.95,0.91,0.86,0.57,0.64,0.49,0.65,0.62,0.45
a_1,4.27,4.23,4.31,3.79,2.18,1.12,1.22,1.22,0.94,1.16,1.04,0.83,0.65,1.2,0.94,0.62
h_1,9.34,9.32,9.01,9.07,9.69,7.74,1.53,2.73,1.95,1.74,1.89,1.95,1.54,1.74,1.78,1.24
g_1,9.98,12.59,10.43,10.62,11.12,10.14,2.41,1.54,2.14,2.01,2.19,1.94,1.23,2.03,1.84,1.76
c_0,6.82,13.58,11.6,15.2,11.35,10.92,3.24,2.58,1.73,2.49,2.89,2.34,1.62,2.43,2.25,1.6
b_0,9.68,13.53,14.01,15.82,15.14,10.39,3.23,3.22,1.62,1.76,2.66,2.19,1.78,2.18,2.23,1.7
d_0,15.69,11.69,8.14,13.91,16.79,11.7,4.78,4.66,2.76,2.5,1.86,2.88,2.04,2.66,3.3,2.12
f_0,14.27,20.05,15.53,14.22,14.28,13.65,4.12,2.73,2.81,2.75,2.85,1.82,1.91,2.77,3.32,1.36
h_0,14.82,19.06,17.08,19.02,17.42,14.01,6.33,4.25,3.17,3.53,3.65,3.22,3.08,3.18,3.05,2.53
a_0,16.67,18.95,18.66,19.26,18.97,17.03,4.78,5.39,3.12,2.23,3.94,3.86,2.7,2.0,3.35,2.6
e_0,17.5,27.16,25.06,20.14,17.87,18.68,5.29,4.17,3.66,3.39,3.63,1.93,2.21,3.74,1.96,2.2
g_0,21.37,25.36,24.18,21.69,20.52,21.72,4.59,7.93,4.37,4.94,5.14,4.34,2.52,3.84,3.83,3.88
