,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.42,1.59,1.7,2.0,1.46,0.37,0.38,0.51,0.32,0.34,0.54,0.16,0.36,0.28,0.27
d_1,1.89,0.42,1.88,1.8,1.48,1.56,0.56,0.67,0.33,0.41,0.36,0.35,0.25,0.34,0.34,0.17
e_1,0.94,2.0,0.42,2.01,1.89,1.76,0.51,0.42,0.63,0.33,0.37,0.49,0.3,0.37,0.74,0.31
c_1,1.87,2.41,1.46,0.41,2.01,1.96,0.45,0.19,0.48,0.69,0.34,0.34,0.27,0.34,0.34,0.25
b_1,2.06,1.99,2.15,1.09,0.39,1.68,0.72,0.48,0.57,0.54,0.89,0.37,0.31,0.44,0.53,0.31
a_1,3.88,2.26,2.22,2.17,1.14,0.33,0.71,0.52,0.87,0.47,0.56,0.45,0.39,0.92,0.46,0.3
h_1,2.68,2.6,2.92,3.41,2.7,2.7,0.32,0.59,0.78,0.52,0.53,0.58,0.58,0.45,0.51,0.48
d_0,3.25,5.31,1.67,3.05,3.8,3.51,1.07,0.38,0.92,0.62,0.58,0.62,0.45,0.56,0.65,0.48
g_1,3.3,2.98,3.46,3.31,3.3,2.98,0.66,0.76,0.3,0.69,0.62,0.65,0.34,0.7,0.53,0.8
c_0,3.49,1.67,3.24,7.15,3.76,3.02,1.05,1.04,0.94,0.36,0.72,0.57,0.54,0.57,0.56,0.47
b_0,3.27,3.41,2.92,4.02,6.2,3.44,0.9,0.58,0.84,0.34,0.34,0.68,0.51,0.64,0.64,0.46
f_0,7.14,3.17,3.36,3.91,3.34,3.27,0.94,0.66,0.71,0.66,0.68,0.34,0.53,0.6,0.73,0.32
h_0,4.07,3.52,3.71,3.97,3.57,3.46,1.67,0.95,1.11,0.74,0.65,0.83,0.86,0.64,0.59,0.69
a_0,4.8,3.27,3.92,4.23,6.26,6.48,1.28,0.87,1.02,0.93,0.41,0.8,0.63,0.31,0.65,0.53
e_0,7.75,3.87,5.99,4.49,4.96,3.31,1.14,0.88,1.02,0.91,0.7,0.4,0.56,0.88,0.3,0.51
g_0,5.07,4.39,4.12,4.28,3.97,4.63,0.94,0.97,1.49,0.86,0.8,0.81,0.47,0.7,0.85,0.92
