,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.35,0.67,0.77,0.8,0.81,0.69,1.48,1.45,2.91,1.74,1.74,1.9,1.92,1.7,2.67,1.03
f_1,1.24,2.39,0.74,0.71,0.67,0.83,1.21,1.25,1.59,1.59,1.86,0.61,1.83,1.62,1.86,1.7
d_1,0.77,0.83,2.54,0.73,0.63,0.86,1.66,1.33,0.74,2.81,1.59,1.67,2.32,1.75,1.88,1.58
c_1,0.72,0.7,0.73,2.56,1.36,0.64,1.6,1.47,1.59,0.75,1.27,1.88,2.25,1.53,1.79,1.81
b_1,0.73,0.91,0.87,0.58,2.78,1.18,1.46,1.78,1.27,1.75,0.79,1.86,1.89,1.51,1.58,1.81
a_1,0.74,0.72,0.8,0.86,0.67,3.36,1.72,1.44,1.62,1.62,1.71,2.01,2.43,,1.89,1.66
h_1,0.86,1.52,0.97,0.96,0.89,0.74,3.88,2.37,2.32,2.06,2.42,2.15,2.02,2.21,2.87,2.24
g_1,0.95,1.01,1.41,1.07,0.81,0.98,1.79,4.21,1.83,1.56,2.25,2.88,2.68,2.35,2.05,2.17
d_0,0.7,1.06,0.63,1.75,1.22,0.99,1.79,1.94,3.59,2.04,2.43,1.92,3.04,2.48,2.94,2.22
c_0,1.08,1.21,0.91,0.73,0.87,0.95,1.99,2.19,2.5,3.78,4.2,1.85,3.41,2.4,3.16,2.69
b_0,0.98,1.09,1.17,1.41,0.39,0.65,2.15,2.17,2.0,1.68,3.99,2.16,2.79,4.05,2.83,2.44
f_0,0.9,0.61,1.18,1.21,1.02,0.92,2.07,2.05,2.63,2.62,2.56,4.11,2.97,2.54,2.92,4.55
h_0,0.99,1.38,1.05,1.04,0.99,0.85,0.91,2.29,1.65,1.75,2.32,2.15,1.47,2.06,4.15,2.07
a_0,1.0,1.03,0.93,1.38,0.95,,2.09,1.86,2.62,2.48,2.01,1.8,3.17,4.77,3.19,2.05
g_0,0.71,1.25,1.45,0.97,0.98,0.99,1.71,1.53,1.8,1.81,2.74,2.81,2.27,2.42,2.13,2.47
e_0,0.55,1.1,1.17,1.04,1.03,1.11,2.62,1.75,2.85,2.3,2.86,1.97,2.96,2.94,3.24,5.05
