,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.47,0.93,1.1,1.47,1.06,1.11,2.38,2.16,2.39,4.07,2.95,2.73,3.05,2.31,1.62,2.67
d_1,1.25,2.49,1.1,0.99,1.12,1.07,2.21,1.85,4.01,1.41,2.73,2.6,3.05,2.58,2.7,2.89
f_1,1.71,1.24,2.5,0.99,0.99,0.89,2.09,2.32,2.18,2.42,1.2,2.36,2.41,2.7,1.7,3.11
c_1,0.86,1.13,1.2,2.62,1.85,0.96,2.04,2.22,1.42,2.13,2.53,1.67,3.2,2.22,2.53,3.32
b_1,1.12,1.02,1.13,0.96,2.68,2.04,2.21,2.11,2.0,2.31,2.43,1.27,3.54,2.2,2.81,3.04
a_1,1.1,1.19,1.26,1.41,0.95,3.16,2.03,2.46,2.26,2.6,2.38,3.48,2.85,1.63,2.88,3.08
h_1,1.06,1.32,1.57,1.39,1.21,1.13,3.85,2.72,2.54,2.36,2.72,2.95,2.93,2.6,2.7,4.2
g_1,1.18,1.91,1.08,0.91,1.14,1.28,2.37,4.33,2.99,2.29,3.45,2.96,2.6,2.65,2.93,2.49
c_0,1.23,1.22,1.46,0.93,1.21,1.24,2.65,2.39,4.03,2.83,2.88,4.79,3.31,3.56,2.81,3.63
d_0,1.06,0.75,1.27,2.23,1.33,0.94,2.69,2.14,1.85,4.07,2.47,2.9,3.68,2.92,2.6,3.2
f_0,1.04,1.33,1.2,1.14,1.32,1.17,2.76,2.46,2.89,2.75,4.37,3.05,3.86,2.92,5.72,3.24
b_0,1.1,1.59,1.41,1.5,0.79,0.86,2.43,2.47,2.2,2.49,2.58,4.42,4.13,5.18,2.89,3.19
h_0,1.08,1.35,1.75,1.39,1.05,1.38,1.53,3.32,2.64,2.79,2.52,2.58,2.82,3.33,2.65,4.43
a_0,1.33,1.27,1.45,1.3,1.25,0.71,2.76,2.42,2.4,2.49,3.08,2.45,3.88,4.94,3.0,3.71
e_0,0.8,1.41,1.73,1.19,1.12,1.31,2.73,2.45,2.46,2.48,2.12,2.87,4.16,2.65,4.88,3.46
g_0,1.05,1.79,1.09,1.4,1.21,1.31,2.13,1.71,2.43,2.31,3.47,3.03,3.08,2.6,3.09,2.47
