,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,3.87,3.55,4.44,4.94,3.54,0.93,1.69,0.91,0.94,0.84,1.99,0.47,0.96,0.74,0.93
e_1,2.4,1.12,5.12,5.22,4.47,4.72,1.67,1.42,1.0,0.97,1.12,1.27,0.74,0.98,0.77,2.4
d_1,4.77,5.01,1.12,4.41,4.42,4.24,1.07,0.83,0.93,2.0,0.96,0.94,0.61,0.79,0.44,0.84
c_1,5.93,3.96,6.14,1.12,5.04,4.9,1.48,1.38,2.06,0.53,0.97,0.93,0.79,1.05,0.76,0.8
b_1,6.04,5.57,5.94,3.07,1.13,5.84,1.91,1.76,1.45,1.11,2.25,1.06,0.83,1.14,0.89,1.18
a_1,10.17,7.62,7.42,9.99,4.34,1.14,2.41,2.66,1.28,1.85,1.74,1.25,1.27,3.38,0.99,1.6
h_1,17.09,14.95,14.56,16.86,13.83,14.99,1.74,4.59,3.14,3.18,3.28,2.54,3.14,3.08,1.95,2.81
g_1,21.46,20.26,16.33,21.43,18.92,16.77,3.75,1.75,3.49,3.13,3.1,3.81,1.96,3.38,3.27,3.0
c_0,22.23,19.36,10.0,37.63,20.11,19.21,5.11,5.12,2.21,5.12,3.91,3.53,2.78,4.08,2.39,3.74
d_0,20.17,10.96,30.52,22.69,22.65,19.03,6.29,7.39,4.36,2.41,4.39,3.86,3.29,5.26,3.5,4.14
b_0,26.18,23.07,17.93,30.55,36.87,17.36,5.53,5.01,2.44,4.56,2.2,3.75,3.16,3.79,2.94,4.46
f_0,38.85,25.43,22.89,21.58,22.65,20.83,7.57,4.39,4.3,5.04,4.53,2.29,3.07,4.08,2.45,3.74
h_0,30.25,30.3,26.36,34.67,27.13,24.43,11.52,9.0,5.69,7.13,5.83,6.15,7.39,5.41,4.53,5.35
a_0,31.82,31.11,31.92,40.61,43.58,48.27,8.99,9.36,5.59,7.29,3.52,6.01,3.66,2.46,4.47,6.69
g_0,41.94,32.56,33.45,36.74,38.86,32.98,6.7,13.5,6.58,7.95,6.49,6.22,3.73,6.32,8.21,7.4
e_0,51.26,64.52,34.11,30.55,38.86,30.45,8.7,8.56,7.14,5.9,6.34,2.91,7.26,7.43,3.8,2.4
