,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.24,1.05,1.03,1.05,0.75,0.54,0.69,0.63,0.53,0.59,0.58,0.5,0.45,0.63,0.42
e_1,0.81,1.0,0.96,0.87,0.94,0.78,0.77,0.68,0.98,0.7,0.71,0.75,0.61,0.62,0.54,0.6
d_1,0.95,1.04,1.0,0.94,0.9,0.9,0.74,0.49,0.62,0.9,0.73,0.63,0.56,0.74,0.44,0.68
c_1,0.97,1.15,1.07,1.0,1.32,0.88,0.64,0.64,0.45,0.53,0.56,0.58,0.62,0.59,0.57,0.47
b_1,0.96,1.06,1.11,0.76,1.0,1.38,0.85,0.75,0.74,0.66,0.56,0.73,0.59,0.65,0.6,0.6
a_1,1.33,1.28,1.12,1.13,0.72,1.0,1.01,0.96,0.73,0.83,0.68,0.58,0.91,0.79,0.59,0.63
h_1,1.88,1.25,1.38,1.51,1.18,1.0,1.0,1.13,0.97,0.98,0.78,0.82,0.75,0.99,0.95,0.83
g_1,1.47,1.39,1.97,1.64,1.26,1.08,0.91,1.0,0.76,0.85,0.85,0.98,0.69,0.69,0.98,0.84
d_0,1.69,1.0,1.53,2.33,1.36,1.36,1.04,1.25,1.0,0.99,0.9,0.88,0.9,1.0,0.78,0.77
c_0,2.02,1.4,1.1,2.02,1.45,1.21,0.98,1.28,1.01,1.0,1.65,1.01,1.05,0.95,0.86,0.75
b_0,1.77,1.34,1.33,1.89,1.7,1.35,1.27,1.09,1.13,0.64,1.0,0.86,1.5,1.1,1.1,0.88
f_0,1.81,1.26,1.7,1.68,1.3,1.84,1.26,0.93,1.09,1.02,1.12,1.0,0.99,0.95,0.82,1.74
a_0,2.15,1.58,1.73,1.83,1.76,,1.34,1.4,1.06,0.92,0.8,1.0,1.0,0.96,0.93,0.77
h_0,2.3,1.56,1.4,1.77,1.53,1.31,1.03,1.47,0.98,1.05,0.94,1.07,1.02,1.0,1.22,0.94
g_0,1.55,1.69,2.22,1.81,1.63,1.64,1.07,1.09,1.27,1.17,0.98,1.32,1.12,0.83,1.0,0.98
e_0,2.64,1.59,1.51,2.04,1.58,1.51,1.12,1.01,1.17,1.27,1.12,0.57,1.23,1.08,0.99,1.0
