,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.34,0.69,0.59,0.78,0.65,0.89,1.46,3.03,1.48,1.74,2.15,1.83,2.06,2.57,2.13,1.29
f_1,1.17,2.36,0.73,0.79,0.79,0.66,1.53,1.53,1.42,1.91,1.34,0.64,1.51,1.87,1.94,1.09
d_1,0.83,0.85,2.5,0.63,0.71,0.8,1.54,0.8,1.27,2.77,1.68,1.8,1.81,1.99,1.8,1.87
c_1,0.76,0.8,0.89,2.59,1.26,0.61,1.35,1.35,1.63,0.59,1.57,1.46,1.5,1.88,1.39,1.62
b_1,0.79,0.7,0.85,0.63,2.93,1.28,1.63,1.28,1.66,1.25,0.95,1.95,1.61,2.42,1.89,2.25
a_1,0.67,0.78,0.78,0.88,0.6,3.32,1.63,1.73,1.57,1.76,1.77,1.75,0.82,2.51,3.2,1.69
h_1,0.95,1.23,1.1,1.03,0.98,0.87,3.73,1.71,2.43,2.3,2.25,2.29,2.18,1.49,3.18,2.59
d_0,0.71,1.12,0.54,1.82,1.3,1.06,1.99,3.57,2.04,1.79,2.25,2.1,1.93,2.61,2.51,2.53
g_1,0.9,0.91,1.47,1.0,0.83,0.92,1.63,1.86,4.42,2.17,2.1,3.53,2.11,2.02,2.15,2.56
c_0,1.19,1.06,0.92,0.71,1.21,1.01,1.82,2.65,1.73,3.77,3.62,2.5,1.95,2.99,3.37,2.22
b_0,0.92,1.32,1.18,1.12,,0.75,2.0,2.45,2.07,1.77,4.07,2.26,3.42,2.56,3.01,2.74
f_0,0.99,0.77,1.16,1.19,0.95,1.02,1.89,2.48,1.61,1.97,2.34,4.15,2.56,2.86,2.9,4.34
a_0,0.86,1.11,1.1,1.3,1.07,,2.18,2.79,1.79,2.36,2.1,2.16,4.64,3.03,2.94,2.8
h_0,0.9,1.41,1.07,1.02,0.76,1.12,1.46,2.45,2.56,1.76,2.12,2.04,2.08,1.75,3.84,1.93
g_0,0.97,0.93,1.47,1.24,0.93,0.76,1.93,2.18,,1.82,2.53,3.03,2.22,2.37,1.86,2.15
e_0,0.41,1.57,1.12,1.14,1.02,1.06,1.89,2.18,1.89,2.24,2.11,1.75,2.16,2.86,3.18,4.74
