,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.89,0.19,0.15,0.17,0.32,0.07,0.17,0.13,0.16,0.04,0.15,0.1,0.15,0.1,0.08,0.12
f_1,0.2,0.89,0.21,0.32,0.13,0.07,0.16,0.14,0.14,0.14,0.05,0.15,0.14,0.05,0.1,0.1
d_1,0.15,0.21,0.89,0.14,0.15,0.09,0.19,0.15,0.08,0.32,0.16,0.19,0.15,0.12,0.11,0.14
e_1,0.22,0.19,0.15,0.89,0.17,0.1,0.14,0.14,0.34,0.14,0.14,0.15,0.17,0.04,0.1,0.15
b_1,0.18,0.2,0.16,0.18,0.88,0.24,0.18,0.11,0.17,0.13,0.14,0.04,0.14,0.1,0.08,0.11
a_1,0.25,0.2,0.17,0.15,0.14,0.88,0.16,0.16,0.18,0.16,0.14,0.13,0.15,0.13,0.04,0.15
h_1,0.22,0.33,0.23,0.2,0.16,0.14,0.55,0.21,0.18,0.21,0.15,0.18,0.11,0.11,0.13,0.2
g_1,0.19,0.2,0.37,0.19,0.18,0.09,0.22,0.56,0.18,0.2,0.28,0.16,0.17,0.14,0.11,0.1
d_0,0.47,0.22,0.11,0.22,0.2,0.12,0.17,0.15,0.42,0.13,0.19,0.16,0.17,0.11,0.11,0.15
c_0,0.14,0.25,0.28,0.2,0.14,0.13,0.22,0.18,0.19,0.42,0.2,0.39,0.2,0.14,0.14,0.22
f_0,0.26,0.13,0.29,0.19,0.2,0.15,0.21,0.16,0.17,0.2,0.41,0.2,0.18,0.24,0.14,0.18
b_0,0.23,0.3,0.24,0.22,0.09,0.09,0.21,0.2,0.22,0.2,0.15,0.4,0.23,0.15,0.24,0.18
h_0,0.22,0.32,0.25,0.21,0.18,0.12,0.12,0.28,0.22,0.19,0.16,0.16,0.11,0.12,0.13,0.24
e_0,0.26,0.29,0.27,0.08,0.22,0.13,0.26,0.19,0.16,0.15,0.17,0.19,0.22,0.4,0.13,0.16
a_0,0.26,0.25,0.3,0.19,0.17,0.07,0.23,0.17,0.2,0.16,0.12,0.13,0.2,0.11,0.36,0.18
g_0,0.26,0.19,0.37,0.19,0.2,0.1,0.18,0.11,0.2,0.2,0.24,0.17,0.2,0.12,0.12,0.11
