,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,3.42,5.91,5.32,5.49,4.97,2.31,3.27,2.83,1.94,2.22,2.06,1.64,2.17,,1.57
f_1,7.2,0.67,4.24,5.53,6.7,6.86,1.77,2.53,2.81,2.11,1.94,,1.14,1.93,2.09,1.78
d_1,7.19,6.57,0.65,7.41,5.1,5.3,3.27,,1.78,2.12,1.82,2.49,1.75,1.52,2.29,1.09
c_1,6.47,6.93,7.23,0.64,5.45,5.16,3.05,1.31,3.18,,2.91,2.18,1.53,2.84,1.95,1.58
b_1,8.03,6.08,8.24,3.93,0.63,8.96,2.02,2.03,2.98,3.68,,1.95,1.7,2.55,,1.47
a_1,7.87,6.04,6.65,8.2,4.17,0.58,3.42,2.54,3.36,2.2,3.27,2.27,2.79,,,2.2
h_1,5.07,5.72,4.0,4.68,7.24,4.28,0.61,2.05,1.88,1.6,1.92,1.68,,1.43,1.86,1.76
d_0,2.67,5.23,,5.04,5.7,5.41,1.96,0.7,2.13,1.47,1.75,1.73,1.34,1.56,1.44,1.51
g_1,5.94,5.41,6.35,5.9,4.81,4.27,2.53,2.36,0.57,2.3,1.53,2.04,1.3,2.48,1.79,
c_0,4.54,4.39,3.91,,4.64,6.32,2.87,2.3,1.91,0.68,2.29,1.58,1.45,1.82,1.25,1.12
b_0,5.69,5.98,5.2,5.12,,3.98,2.06,1.69,3.07,1.17,0.67,2.3,1.56,1.65,2.11,1.38
f_0,5.6,,4.7,5.7,4.26,5.24,2.78,2.03,1.59,1.81,1.7,0.67,1.72,1.62,1.92,1.33
h_0,4.11,5.35,4.69,4.77,4.05,3.17,,1.6,1.95,2.26,1.67,1.48,,1.28,1.22,2.09
a_0,5.0,7.57,7.36,5.39,5.97,,3.23,2.11,2.0,2.13,1.47,2.36,2.01,0.62,,1.62
e_0,,5.95,4.56,5.2,,,2.36,1.98,2.77,3.01,2.26,1.27,2.06,,0.64,1.59
g_0,6.85,5.26,6.09,4.85,4.62,4.43,1.58,1.77,,1.85,1.52,2.41,1.07,2.17,1.45,
