,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.42,1.04,1.28,1.72,4.79,15.21,26.36,33.49,32.56,44.01,41.68,66.87,87.36,117.84,99.11
e_1,0.71,1.0,0.97,1.42,1.72,3.44,18.23,28.67,33.04,45.33,42.42,58.75,79.48,94.7,102.1,124.44
d_1,0.96,1.04,1.0,1.0,1.64,3.08,15.31,36.29,22.99,26.65,43.72,42.63,69.76,70.91,74.75,115.51
c_1,0.79,0.71,1.0,1.0,1.99,3.17,15.5,19.99,24.3,19.18,30.1,34.64,63.3,67.5,85.69,88.99
b_1,0.57,0.58,0.61,0.51,1.0,3.21,10.44,17.67,16.3,18.27,28.75,26.38,46.58,47.47,53.29,63.36
a_1,0.21,0.29,0.32,0.31,0.31,1.0,4.34,7.68,9.51,8.69,12.68,12.32,21.55,24.36,28.99,30.57
h_1,0.07,0.05,0.07,0.06,0.09,0.22,1.0,1.53,2.08,2.0,2.87,2.46,4.43,4.61,7.11,6.68
c_0,0.04,0.03,0.03,0.05,0.05,0.14,0.66,1.0,1.25,1.49,2.28,1.72,2.75,3.49,3.41,4.13
g_1,0.03,0.03,0.04,0.04,0.06,0.1,0.48,0.79,1.0,0.92,1.33,1.66,1.81,2.97,2.64,4.11
d_0,0.03,0.02,0.04,0.05,0.06,0.12,0.51,0.69,1.08,1.0,1.37,1.41,2.48,2.82,3.43,3.7
b_0,0.02,0.02,0.02,0.03,0.04,0.08,0.36,0.45,0.76,0.73,1.0,1.06,1.78,3.18,2.37,2.55
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.41,0.58,0.56,0.68,0.84,1.0,1.55,1.98,1.59,3.81
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.36,0.57,0.4,0.53,0.6,0.99,1.1,1.42,1.31
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.3,0.32,0.36,0.34,0.51,0.96,1.0,1.16,1.54
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.3,0.38,0.29,0.43,0.63,0.7,0.81,1.0,1.32
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.24,0.23,0.25,0.38,0.27,0.76,0.71,0.78,1.0
