,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.46,1.63,1.43,1.93,1.62,1.54,3.29,3.52,5.43,3.61,3.71,4.4,3.77,4.79,4.61,4.01
f_1,2.16,2.48,1.67,1.71,1.56,1.63,3.17,3.14,3.73,3.17,3.55,2.85,3.72,4.07,4.85,2.91
d_1,1.73,1.81,2.56,1.56,1.59,1.72,3.34,3.01,2.92,5.26,4.11,3.57,3.63,4.64,4.1,3.56
c_1,1.59,1.74,1.69,2.6,2.5,1.58,3.12,3.09,3.16,2.71,2.8,3.36,3.79,4.4,4.36,3.95
b_1,1.55,1.71,1.75,1.46,2.85,2.82,2.84,3.08,3.2,3.7,2.97,3.46,3.31,4.6,4.3,3.86
a_1,1.63,1.78,1.77,1.88,1.4,3.42,3.71,3.47,3.74,3.46,4.16,3.63,3.36,5.06,4.59,4.45
h_1,1.72,2.0,1.71,1.84,1.87,1.41,4.26,4.03,3.53,3.6,3.75,3.65,3.95,4.19,5.51,4.22
g_1,1.54,1.49,2.26,1.74,1.64,1.8,3.17,4.54,2.92,3.77,3.45,5.0,3.61,4.39,4.45,4.65
d_0,1.4,1.7,1.62,2.52,1.79,1.73,3.34,3.63,4.43,2.75,3.52,4.13,3.53,4.72,4.83,4.64
c_0,1.65,2.02,1.69,1.72,1.55,1.88,3.24,3.62,3.94,4.54,5.74,4.28,4.57,5.12,4.66,4.02
b_0,1.62,1.92,1.73,2.0,1.44,1.66,3.23,3.51,3.7,3.3,4.76,4.0,6.37,5.06,5.18,4.3
f_0,1.39,1.72,2.01,1.91,1.72,1.86,3.67,3.44,3.69,3.76,3.69,4.88,4.09,5.14,4.35,6.87
a_0,1.65,1.77,2.06,1.77,1.83,1.27,3.51,3.31,3.53,3.51,3.57,4.09,5.15,4.65,5.4,4.27
h_0,1.67,2.16,1.86,1.73,1.69,1.63,2.93,3.56,3.43,3.24,3.54,3.4,4.11,4.11,5.61,3.7
g_0,1.59,1.69,2.24,1.69,1.72,1.72,3.1,3.25,3.54,3.87,3.71,4.94,3.85,4.59,4.33,4.23
e_0,1.41,1.96,1.87,1.86,1.87,1.87,3.59,3.28,3.58,3.82,3.52,3.3,3.83,4.15,5.25,5.59
