,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.5,1.73,1.8,1.51,1.65,1.6,3.16,3.11,3.14,5.2,3.99,4.23,4.62,4.07,4.18,4.29
e_1,1.44,2.5,1.59,1.99,1.8,1.83,3.42,5.41,3.45,3.25,3.75,3.72,4.84,3.55,3.31,4.3
f_1,1.62,2.31,2.54,1.7,1.52,1.59,2.92,3.71,3.33,3.25,3.04,3.46,4.06,3.62,2.64,3.78
c_1,1.72,1.59,1.63,2.59,2.46,1.61,3.22,3.13,2.95,2.67,3.4,2.83,4.43,3.48,3.5,4.92
b_1,1.71,1.63,1.61,1.56,2.83,2.66,3.6,3.21,2.93,3.74,3.62,3.66,4.2,3.32,3.91,4.94
a_1,1.74,1.56,1.75,1.65,1.52,3.24,3.53,3.92,3.86,4.03,4.03,4.22,5.06,3.44,4.4,4.43
h_1,1.8,1.7,2.17,1.82,1.52,1.47,4.4,3.68,4.04,3.38,3.65,3.63,4.02,4.17,3.7,5.09
d_0,1.54,1.55,1.68,2.51,2.05,1.7,3.42,4.34,3.15,2.85,3.8,3.38,4.47,3.5,4.05,4.73
g_1,2.24,1.56,1.62,1.72,1.7,1.56,3.0,3.74,4.84,3.74,4.87,3.87,4.42,4.62,4.76,4.39
c_0,1.69,1.84,1.94,1.78,1.38,1.54,3.76,4.19,3.28,4.54,4.05,6.21,5.07,4.98,4.48,5.07
f_0,1.79,1.53,1.75,1.84,1.9,1.86,3.4,3.82,3.35,3.61,4.75,3.71,4.75,4.02,6.46,4.23
b_0,1.76,1.72,1.96,2.07,1.35,1.51,3.35,4.07,3.3,3.14,3.99,4.78,4.88,6.62,4.72,4.83
h_0,1.91,1.77,2.13,1.67,1.57,1.56,2.91,3.83,3.67,3.36,3.63,3.63,4.25,3.92,3.92,5.29
a_0,1.81,1.76,1.96,1.83,1.69,1.31,3.63,3.97,3.34,3.76,4.03,3.03,4.82,5.46,4.52,4.91
e_0,1.94,1.36,2.16,1.75,1.74,1.6,3.63,3.51,3.14,3.65,3.3,3.67,4.88,4.25,5.44,4.92
g_0,2.3,1.57,1.74,1.65,1.62,1.71,3.06,3.35,3.07,3.63,5.09,3.93,4.35,4.08,4.1,4.56
