,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,10.06,0.52,0.78,1.1,0.68,0.66,0.96,0.77,0.79,2.59,0.98,0.96,0.96,0.94,0.67,0.83
d_1,0.71,13.1,0.7,0.54,0.61,0.64,1.08,1.03,2.92,0.48,1.08,1.27,1.01,1.2,1.18,1.08
f_1,1.89,0.66,11.27,0.63,0.52,0.57,0.87,0.93,0.88,0.98,0.66,1.0,0.79,1.12,0.53,0.85
c_1,0.49,0.66,0.72,11.74,1.95,0.8,0.83,0.74,0.54,0.79,0.89,0.54,1.11,0.69,0.93,1.05
b_1,0.61,0.68,0.65,0.68,12.13,1.91,0.88,0.91,0.63,0.89,0.84,0.55,1.08,0.65,1.03,0.94
a_1,0.76,0.82,0.71,0.73,0.69,16.74,0.93,1.1,0.8,0.92,0.94,1.01,0.92,0.78,1.22,0.81
h_1,0.69,0.93,1.25,0.82,0.66,0.59,2.9,1.4,1.0,0.86,1.16,1.31,0.77,0.99,1.05,1.58
g_1,0.66,1.73,0.7,0.59,0.67,0.78,1.07,4.01,1.37,0.75,2.0,1.25,0.94,1.0,1.27,0.96
c_0,0.78,1.17,0.88,0.56,0.61,0.61,1.29,1.21,2.41,1.02,1.35,3.71,1.19,1.84,1.14,1.19
d_0,0.61,0.51,0.79,2.87,0.94,0.61,1.0,0.82,0.53,2.19,0.93,0.93,1.09,0.9,0.94,1.06
f_0,0.54,0.89,0.74,0.83,0.94,0.7,1.28,1.42,1.18,0.98,2.71,1.42,1.38,1.0,3.29,1.39
b_0,0.67,1.21,0.96,0.88,0.49,0.45,1.1,1.1,1.13,0.91,1.26,2.71,1.41,3.33,1.26,1.18
h_0,0.66,0.99,1.19,0.88,0.72,0.78,0.7,1.55,0.88,0.95,1.11,1.15,0.73,1.16,1.1,1.8
a_0,0.66,0.97,0.96,0.88,0.68,0.5,1.27,1.14,1.14,0.99,1.17,1.31,1.41,3.02,1.38,1.48
e_0,0.52,1.11,0.9,0.78,0.69,0.73,1.44,1.23,1.17,0.88,1.32,1.35,1.62,1.1,3.53,1.42
g_0,0.51,1.75,0.57,0.96,0.67,0.74,0.86,0.82,1.12,0.73,2.04,1.15,1.05,0.95,1.4,0.87
