,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,15.5,1.26,0.47,0.51,0.5,0.53,0.94,0.83,0.89,0.84,0.4,0.86,0.9,0.64,0.99,0.74
e_1,0.66,15.91,0.74,0.46,0.47,0.66,0.8,0.73,2.09,0.81,1.03,1.0,0.87,0.55,0.96,0.96
c_1,0.55,0.45,17.0,0.56,1.35,0.41,0.95,0.84,0.82,0.35,0.89,0.62,1.01,1.0,0.87,0.97
d_1,0.64,0.46,0.41,19.41,0.52,0.44,0.92,0.86,0.46,2.53,1.06,1.03,1.05,1.01,0.86,1.29
b_1,0.53,0.49,0.62,0.51,20.12,1.4,0.96,0.7,0.68,0.72,0.82,0.39,0.82,0.88,0.78,0.86
a_1,0.59,0.63,0.71,0.57,0.42,30.96,0.84,1.01,0.9,0.6,1.07,1.18,0.93,1.16,0.39,0.73
h_1,1.18,0.68,0.71,0.83,0.65,0.63,4.6,1.67,1.01,1.01,1.06,1.07,0.74,1.27,0.96,1.66
g_1,0.62,0.51,0.66,1.72,0.6,0.63,1.01,6.28,0.88,1.14,2.4,1.29,1.01,1.12,1.26,0.68
d_0,0.67,0.7,1.93,0.31,0.75,0.76,0.98,1.24,2.36,0.73,1.28,1.16,1.21,1.14,1.37,1.02
c_0,0.9,0.73,0.48,0.94,0.37,0.71,0.98,1.14,1.17,3.28,1.1,3.85,1.55,1.42,1.44,1.59
f_0,0.37,0.55,0.96,0.93,0.86,0.8,1.03,1.1,1.27,1.16,3.76,1.52,1.45,3.25,1.13,1.17
b_0,0.75,0.78,0.78,1.07,0.29,0.47,1.26,1.47,1.21,1.33,1.18,4.01,1.74,1.16,3.35,1.25
h_0,1.11,0.66,0.77,0.88,0.73,0.6,0.73,1.84,1.02,1.15,1.22,1.21,0.86,1.24,1.37,1.71
e_0,0.8,0.36,0.71,0.94,0.78,0.79,1.08,1.58,1.04,1.5,1.57,1.83,1.59,4.51,1.51,1.2
a_0,0.67,0.58,0.89,1.1,0.66,0.37,1.38,1.44,1.25,1.33,1.16,1.23,1.7,1.1,4.29,1.43
g_0,0.53,0.57,0.59,1.5,0.87,0.65,0.96,0.88,1.0,1.35,2.35,1.4,1.44,1.65,1.27,0.68
