,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.51,0.71,0.72,0.88,0.72,0.57,0.96,0.8,1.36,0.71,0.83,0.86,0.92,0.8,0.68,0.69
f_1,1.18,1.52,0.66,0.74,0.59,0.54,0.8,0.76,0.92,0.88,0.84,0.54,0.73,0.77,0.63,0.58
d_1,0.74,0.86,1.56,0.58,0.74,0.62,0.88,0.78,0.72,1.35,0.93,0.88,1.05,0.77,0.74,0.71
c_1,0.72,0.75,0.85,1.56,1.11,0.59,0.84,0.76,0.72,0.57,0.58,0.73,0.95,0.88,0.75,0.64
b_1,0.75,0.84,0.77,0.68,1.6,0.98,0.77,0.74,0.9,1.02,0.63,0.86,1.05,0.91,0.67,0.79
a_1,0.83,0.9,0.76,0.89,0.69,1.75,1.06,1.01,0.96,0.71,0.96,0.87,1.06,0.94,0.59,0.76
h_1,0.92,1.23,1.0,1.01,0.9,0.67,1.75,1.28,1.02,1.04,1.09,1.27,0.99,1.44,0.98,0.97
g_1,0.97,0.97,1.38,1.02,0.85,0.7,1.11,1.82,0.92,1.18,1.11,1.64,1.12,1.01,1.1,1.03
d_0,0.88,1.1,0.77,1.69,0.97,0.77,1.19,1.13,1.62,0.88,1.16,1.26,1.32,1.19,0.97,1.04
c_0,1.19,1.03,0.97,0.92,0.76,0.9,1.39,1.14,1.41,1.68,2.17,1.22,1.28,1.47,1.17,0.93
b_0,1.02,1.19,1.11,1.25,0.87,0.76,1.31,1.13,1.23,0.94,1.71,1.12,1.4,1.42,1.81,1.01
f_0,0.85,0.94,1.12,1.19,1.01,0.97,1.09,1.05,1.25,1.3,1.27,1.73,1.53,1.37,1.22,1.83
h_0,1.07,1.64,1.03,1.05,0.89,0.8,1.1,1.42,1.2,1.2,1.1,1.02,1.15,1.54,1.03,0.95
g_0,1.01,1.08,1.65,1.12,1.01,0.84,1.15,0.91,1.18,1.04,1.15,1.55,1.31,1.04,0.9,0.86
a_0,1.16,1.29,1.03,1.19,1.09,0.73,1.34,1.06,1.35,1.39,1.11,1.2,1.61,1.39,1.8,0.96
e_0,0.68,1.25,1.19,1.3,1.05,0.91,1.51,1.2,1.36,1.33,1.33,1.16,1.43,1.52,1.19,1.78
