,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.71,0.89,1.05,0.98,0.82,0.44,0.48,0.41,0.34,0.33,0.4,0.28,0.31,0.36,0.27
f_1,1.05,0.65,0.87,1.02,0.93,0.76,0.35,0.41,0.37,0.3,0.31,0.35,0.23,0.28,0.24,0.29
d_1,1.12,1.17,0.63,0.9,0.84,0.86,0.42,0.32,0.47,0.4,0.37,0.31,0.28,0.33,0.34,0.2
c_1,0.86,0.94,1.23,0.63,0.98,0.9,0.46,0.44,0.26,0.38,0.34,0.41,0.29,0.37,0.37,0.28
b_1,0.98,1.03,1.23,0.72,0.62,1.11,0.5,0.52,0.35,0.46,0.48,0.4,0.3,0.39,0.33,0.34
a_1,1.27,1.45,1.3,1.2,0.77,0.55,0.58,0.56,0.51,0.53,0.53,0.48,0.46,0.51,0.4,0.37
h_1,1.53,1.79,1.48,1.48,1.52,1.3,0.53,0.75,0.52,0.52,0.55,0.52,0.48,0.55,0.46,0.46
g_1,1.71,1.9,1.77,1.63,1.47,1.42,0.62,0.51,0.62,0.58,0.62,0.63,0.41,0.56,0.59,0.47
d_0,1.28,1.66,2.05,2.06,1.86,1.45,0.91,0.86,0.55,0.57,0.67,0.66,0.48,0.69,0.62,0.53
c_0,1.96,1.98,1.2,2.28,1.69,1.42,0.82,0.75,0.87,0.55,0.74,0.59,0.53,0.61,0.59,0.51
b_0,1.77,2.05,1.53,2.05,1.95,1.5,0.85,0.76,0.69,0.45,0.53,0.59,0.55,0.81,0.54,0.55
f_0,1.78,2.33,1.79,1.73,1.75,1.39,0.84,0.58,0.69,0.71,0.74,0.53,0.54,0.7,0.76,0.42
h_0,1.98,2.23,1.94,2.04,2.03,1.47,1.03,0.91,0.76,0.67,0.68,0.66,0.7,0.6,0.59,0.61
a_0,2.11,2.48,1.88,1.97,2.08,2.22,0.99,0.89,0.82,0.71,0.49,0.69,0.68,0.51,0.64,0.56
e_0,2.33,3.44,1.94,1.82,2.05,1.73,0.98,0.84,0.72,0.72,0.79,0.48,0.67,0.63,0.51,0.56
g_0,2.18,2.15,2.29,2.26,2.0,1.83,0.86,1.09,0.81,0.79,0.71,0.76,0.51,0.7,0.75,0.64
