,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.93,0.1,0.1,0.08,0.07,0.05,0.08,0.05,0.11,0.08,0.08,0.05,0.04,0.06,0.04,
f_1,0.15,0.93,0.12,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.07,,0.05,0.05,0.06,0.03
d_1,0.11,0.1,0.93,0.1,0.09,0.08,0.09,0.06,,0.11,0.06,0.04,0.04,0.07,0.04,
c_1,0.13,0.12,0.08,0.93,0.14,0.05,0.08,0.07,0.06,,0.05,0.05,0.05,0.08,0.05,0.05
b_1,0.15,0.15,0.12,0.09,0.93,0.09,0.06,0.06,0.07,0.05,,0.08,0.05,0.07,0.04,0.04
a_1,0.12,0.1,0.11,0.12,0.1,0.93,,0.07,0.09,0.09,0.06,0.05,,0.09,0.05,
h_1,0.3,0.36,0.22,0.3,0.27,,0.71,0.21,0.18,0.17,0.17,0.14,0.11,,0.21,0.14
g_1,0.36,0.19,0.36,0.3,0.29,0.22,0.21,0.71,0.16,0.17,0.13,0.27,0.13,0.1,,0.15
d_0,0.26,0.36,,0.56,0.29,0.18,0.28,0.23,0.58,0.16,0.22,0.25,0.15,0.22,0.18,0.12
c_0,0.36,0.35,0.33,,0.28,0.2,0.22,0.25,0.24,0.59,0.31,0.26,0.16,0.21,0.16,0.1
b_0,0.28,0.4,0.34,0.37,,0.25,0.25,0.27,0.23,0.2,0.58,0.2,0.22,0.25,0.2,0.11
f_0,0.37,,0.49,0.43,0.22,0.28,0.27,0.2,0.22,0.15,0.25,0.58,0.14,0.31,0.14,0.24
a_0,0.32,0.47,0.43,0.31,0.29,,0.35,0.21,0.32,0.26,0.2,0.22,0.6,0.14,0.15,
h_0,0.44,0.71,0.49,0.41,0.41,0.26,,0.38,0.3,0.33,0.22,0.13,0.36,,0.32,0.16
g_0,0.62,0.31,0.57,0.4,0.43,0.37,0.23,,0.32,0.39,0.29,0.48,0.3,0.31,,0.18
e_0,,0.45,,0.38,0.41,,0.28,0.22,0.32,0.31,0.31,0.2,,0.35,0.2,0.55
