,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.29,0.66,1.18,0.59,0.65,0.58,0.92,2.55,0.88,0.85,0.97,1.09,1.09,1.07,0.79,0.97
f_1,1.95,10.66,0.67,0.7,0.52,0.64,0.84,1.01,0.78,0.81,0.95,0.54,0.8,0.88,0.58,0.84
c_1,0.59,0.68,11.18,0.64,1.81,0.75,0.98,0.74,0.75,0.49,0.57,0.83,0.85,0.82,0.95,0.95
d_1,0.63,0.72,0.46,14.97,0.61,0.66,0.9,0.52,1.16,2.73,1.45,1.13,1.17,1.31,1.05,1.05
b_1,0.51,0.66,0.66,0.67,14.21,1.98,0.91,0.78,0.99,0.86,0.64,1.0,0.91,0.57,1.01,0.96
a_1,0.72,0.93,0.58,0.8,0.71,18.42,1.19,0.94,0.96,1.07,1.07,0.89,1.11,0.64,1.02,1.08
h_1,0.81,1.41,0.79,0.76,0.74,0.76,3.49,0.95,1.41,0.74,0.86,1.1,0.69,1.02,1.04,1.25
d_0,0.61,0.71,2.92,0.48,0.92,0.59,1.07,1.84,0.95,0.61,1.05,1.1,0.92,0.95,1.2,1.03
g_1,0.65,0.62,0.79,1.69,0.72,0.64,0.86,0.68,4.16,1.13,0.97,1.88,1.27,0.82,1.54,0.79
c_0,0.73,0.99,0.55,1.06,0.44,0.73,1.21,1.06,1.16,2.4,3.34,1.43,1.39,1.7,1.33,1.24
b_0,0.84,0.97,0.96,0.83,0.49,0.59,1.06,1.17,1.18,1.1,2.62,1.24,1.21,3.65,1.26,0.96
f_0,0.51,0.69,0.94,1.17,0.83,0.66,1.29,0.97,1.25,0.95,1.15,2.74,1.34,1.42,3.08,1.27
h_0,0.77,1.27,0.66,1.17,0.6,0.62,0.56,0.86,1.42,1.06,1.05,0.95,0.85,0.97,1.05,1.67
a_0,0.84,1.11,0.83,0.86,0.6,0.42,1.01,1.06,1.01,1.16,1.31,1.05,1.36,3.21,1.17,1.21
e_0,0.58,0.88,0.91,1.02,0.79,0.82,1.34,0.82,1.15,1.08,1.13,1.15,1.1,1.09,2.95,1.23
g_0,0.63,0.68,0.7,2.0,0.68,0.74,1.09,0.76,0.88,1.14,1.18,2.21,1.2,1.06,1.55,0.83
