,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.27,0.47,0.54,0.53,0.42,0.15,0.1,0.1,0.16,0.09,0.14,0.07,0.09,0.16,0.07
f_1,0.41,0.17,0.44,0.51,0.46,0.35,0.09,0.09,0.08,0.16,0.1,0.14,0.05,0.08,0.09,0.08
d_1,0.54,0.49,0.15,0.5,0.46,0.43,0.11,0.14,0.08,0.07,0.08,0.08,0.06,0.08,0.08,0.04
c_1,0.37,0.44,0.7,0.14,0.44,0.43,0.14,0.05,0.17,0.13,0.09,0.08,0.06,0.09,0.1,0.07
b_1,0.46,0.55,0.48,0.24,0.12,0.47,0.15,0.1,0.13,0.17,0.17,0.1,0.07,0.12,0.08,0.07
a_1,0.49,0.54,0.47,0.44,0.22,0.1,0.16,0.11,0.09,0.13,0.11,0.1,0.08,0.19,0.1,0.08
h_1,0.44,0.37,0.36,0.45,0.4,0.34,0.06,0.1,0.08,0.12,0.08,0.08,0.07,0.07,0.06,0.06
d_0,0.25,0.36,0.67,0.41,0.46,0.36,0.13,0.06,0.1,0.14,0.08,0.09,0.06,0.09,0.09,0.08
c_0,0.46,0.43,0.22,0.81,0.41,0.44,0.11,0.12,0.05,0.11,0.08,0.08,0.06,0.08,0.08,0.05
g_1,0.41,0.44,0.38,0.48,0.33,0.49,0.08,0.09,0.07,0.04,0.08,0.07,0.04,0.07,0.07,0.07
b_0,0.37,0.41,0.33,0.53,0.55,0.41,0.12,0.09,0.05,0.13,0.05,0.07,0.05,0.08,0.07,0.05
f_0,0.39,0.59,0.35,0.44,0.36,0.45,0.11,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.07,0.03
h_0,0.36,0.43,0.37,0.4,0.39,0.37,0.15,0.08,0.08,0.11,0.08,0.07,0.07,0.07,0.08,0.05
a_0,0.36,0.4,0.38,0.45,0.51,0.49,0.1,0.09,0.07,0.14,0.04,0.08,0.06,0.04,0.07,0.04
e_0,0.55,0.61,0.38,0.39,0.31,0.33,0.13,0.09,0.09,0.08,0.08,0.04,0.05,0.07,0.03,0.05
g_0,0.43,0.39,0.36,0.4,0.42,0.35,0.09,0.1,0.08,0.13,0.08,0.08,0.04,0.07,0.08,0.07
