,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.01,0.06,0.14,0.15,0.1,0.17,0.18,0.23,0.22,0.24,0.23,0.22,0.28,0.24,,0.29
f_1,0.1,0.01,0.08,0.1,0.12,0.17,0.14,0.31,0.16,0.19,0.24,,0.15,0.25,0.45,0.34
d_1,0.06,0.07,0.01,0.07,0.08,0.12,0.17,0.09,0.13,,0.13,0.21,0.22,0.23,0.23,0.21
c_1,0.04,0.05,0.06,0.01,0.08,0.09,0.11,0.16,,0.08,0.15,0.13,0.14,0.2,0.22,0.19
b_1,0.03,0.03,0.04,0.03,0.01,0.09,0.09,0.11,0.16,0.12,,0.11,0.14,0.18,0.15,0.13
a_1,0.01,0.02,0.01,0.02,0.01,,0.03,0.03,0.04,0.05,0.04,0.04,0.05,,0.06,0.06
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
