,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.05,1.73,1.65,1.57,1.64,1.33,0.51,0.5,0.5,0.61,0.45,0.44,0.38,0.29,0.34,0.39
c_1,1.81,1.05,1.42,2.03,2.29,1.5,0.55,0.36,0.57,0.66,0.42,0.44,0.44,0.38,0.44,0.38
e_1,1.37,2.1,1.05,1.86,1.61,1.46,0.75,0.71,0.54,0.67,0.53,0.64,0.44,0.45,0.58,0.45
b_1,2.19,1.25,1.85,1.05,1.97,2.05,0.8,0.5,0.71,0.78,0.68,0.54,0.54,0.43,0.48,0.41
d_1,1.98,1.8,2.35,1.83,1.05,1.55,0.68,0.79,0.64,0.45,0.58,0.58,0.61,0.45,0.46,0.3
a_1,2.85,2.82,3.04,1.55,2.5,1.06,1.08,0.97,0.8,1.07,0.92,0.73,0.88,0.6,0.69,0.59
h_1,5.56,5.82,4.59,4.63,4.84,3.85,1.27,1.51,1.54,2.12,1.39,1.31,1.28,1.49,1.16,1.07
d_0,6.11,6.55,3.64,5.89,6.16,4.54,2.17,1.43,1.53,2.07,1.35,1.45,1.33,1.19,1.7,1.18
c_0,6.26,9.46,5.9,5.84,3.57,5.07,2.37,2.73,1.35,2.0,1.83,1.57,1.88,1.41,1.59,1.15
g_1,5.68,5.86,5.69,5.38,6.47,4.72,1.64,1.81,1.86,1.29,1.66,1.8,1.46,1.04,1.45,1.52
b_0,6.71,10.17,6.49,8.18,5.37,5.45,2.6,2.68,1.34,2.31,1.43,1.82,2.09,1.49,1.65,1.37
f_0,10.7,8.14,7.13,6.78,5.42,5.68,2.83,2.31,1.94,1.82,2.11,1.45,2.02,1.66,1.92,1.07
a_0,9.43,9.1,8.3,9.71,7.03,9.31,3.27,2.84,1.96,3.33,1.37,2.12,1.48,1.95,1.93,1.66
h_0,9.04,8.77,7.93,8.48,8.1,6.98,3.35,2.51,2.33,2.94,2.32,2.11,1.99,2.15,1.97,1.73
e_0,12.04,9.75,11.94,7.98,8.49,7.56,3.91,2.68,2.64,3.26,2.68,1.58,2.42,1.99,1.53,1.59
g_0,9.72,9.67,9.19,9.12,9.36,8.15,3.09,3.21,2.8,3.88,2.55,2.9,2.66,1.78,2.3,2.14
