,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.47,1.41,1.19,1.78,3.24,22.35,30.6,44.33,42.2,35.26,,64.68,,107.42,173.17
e_1,0.68,1.0,1.43,1.35,1.65,4.23,21.95,30.82,29.7,37.85,46.55,57.99,89.56,,124.09,158.3
c_1,0.71,0.7,1.0,1.26,1.72,2.95,18.73,13.78,,28.04,33.71,33.72,66.38,92.07,88.81,104.14
d_1,0.84,0.74,0.79,1.0,1.19,2.16,13.42,,32.38,19.45,34.39,38.41,73.38,70.07,83.55,70.98
b_1,0.56,0.61,0.58,0.84,1.0,2.84,14.92,15.4,19.64,18.01,,30.48,47.41,71.66,,65.19
a_1,0.31,0.24,0.34,0.46,0.35,1.0,7.74,8.74,11.1,12.34,,18.88,21.04,,,43.59
h_1,0.04,0.05,0.05,0.07,0.07,0.13,1.0,1.24,1.15,2.57,1.99,2.47,,6.15,6.22,7.27
d_0,0.03,0.03,0.07,,0.06,0.11,0.81,1.0,1.4,1.36,2.21,1.83,2.9,4.22,3.8,5.87
c_0,0.02,0.03,,0.03,0.05,0.09,0.87,0.71,1.0,0.96,1.55,1.77,1.89,2.92,3.87,4.14
g_1,0.02,0.03,0.04,0.05,0.06,0.08,0.39,0.74,1.04,1.0,1.31,2.1,1.83,,,
b_0,0.03,0.02,0.03,0.03,,,0.5,0.45,0.64,0.76,1.0,1.16,1.59,,3.18,3.6
f_0,,0.02,0.03,0.03,0.03,0.05,0.4,0.55,0.56,0.48,0.86,1.0,1.77,3.5,,2.02
h_0,0.02,0.01,0.02,0.01,0.02,0.05,,0.34,0.53,0.55,0.63,0.57,,1.43,1.48,2.21
e_0,,,0.01,0.01,0.01,,0.16,0.24,0.34,,,0.29,0.7,1.0,,1.4
a_0,0.01,0.01,0.01,0.01,,,0.16,0.26,0.26,,0.31,,0.67,,1.0,
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.14,0.17,0.24,,0.28,0.5,0.45,0.71,,
