,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.76,1.11,0.9,0.9,0.7,0.5,0.61,0.44,0.45,0.44,0.46,0.35,0.37,0.36,0.35
f_1,1.32,1.0,1.0,0.74,0.9,0.69,0.43,0.5,0.43,0.45,0.41,0.36,0.32,0.3,0.26,0.32
c_1,0.9,1.01,1.0,1.12,1.24,0.67,0.57,0.31,0.38,0.48,0.39,0.38,0.32,0.32,0.3,0.3
d_1,1.11,1.34,0.9,1.0,0.92,0.68,0.49,0.46,0.59,0.38,0.39,0.39,0.37,0.34,0.29,0.24
b_1,1.11,1.12,0.8,1.08,1.0,1.2,0.59,0.53,0.49,0.48,0.43,0.45,0.36,0.38,0.29,0.37
a_1,1.41,1.46,1.5,1.48,0.84,1.0,0.7,0.56,0.55,0.63,0.53,0.65,0.72,0.53,0.49,0.42
h_1,2.01,2.35,1.73,2.06,1.67,1.46,1.0,0.9,0.88,1.06,0.82,0.72,0.64,0.74,0.68,0.76
d_0,1.59,2.1,3.24,2.13,1.89,1.67,1.07,1.0,0.86,1.02,0.98,0.8,0.74,0.84,0.73,0.66
c_0,2.28,2.27,2.56,1.69,1.99,1.77,1.11,1.18,1.0,1.02,1.38,0.9,0.85,0.88,0.9,0.71
g_1,2.25,2.28,2.12,2.64,2.14,1.51,0.95,0.98,0.96,1.0,0.89,1.11,0.69,0.71,0.78,0.7
b_0,2.25,2.45,2.59,2.54,2.25,1.88,1.23,1.02,0.75,1.16,1.0,0.81,1.23,0.78,0.82,0.73
f_0,1.98,2.84,2.57,2.53,2.32,1.65,1.35,1.23,1.09,0.87,1.26,1.0,0.88,0.84,1.21,0.64
a_0,2.78,2.99,3.22,2.61,2.91,1.61,1.54,1.4,1.21,1.44,0.85,1.12,1.0,1.06,0.88,1.01
h_0,2.78,3.25,3.02,2.94,2.47,1.96,1.32,1.26,1.14,1.45,1.32,1.15,0.93,1.0,0.86,0.97
e_0,2.58,3.7,3.48,3.52,3.29,2.08,1.45,1.44,1.22,1.44,1.32,0.87,1.13,1.24,1.0,0.98
g_0,2.97,2.99,3.28,4.12,2.68,2.25,1.34,1.49,1.44,1.47,1.33,1.48,1.06,1.06,1.05,1.0
