,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.93,0.09,0.1,0.09,0.07,0.07,0.07,0.11,0.06,0.05,0.06,0.06,0.05,0.06,,0.05
f_1,0.18,0.93,0.12,0.06,0.1,0.06,0.06,0.09,0.06,0.05,0.06,,0.05,0.06,,
c_1,0.11,0.11,0.93,0.1,0.16,0.05,0.09,0.06,,0.07,0.06,0.04,0.04,0.05,0.05,0.05
d_1,0.1,0.16,0.09,0.93,0.08,0.06,0.08,,0.11,0.06,0.06,0.06,0.04,0.07,,0.04
b_1,0.12,0.08,0.09,0.1,0.93,0.12,0.09,0.1,0.08,0.05,,0.07,0.05,0.06,,0.04
a_1,0.11,0.14,0.11,0.13,0.08,0.93,0.09,0.07,0.08,0.06,0.07,0.08,,0.08,,0.05
h_1,0.27,0.34,0.22,0.33,0.26,0.23,0.71,0.15,0.18,0.22,0.14,0.19,0.12,,0.1,0.19
d_0,0.34,0.3,0.57,,0.29,0.22,0.26,0.57,0.24,0.17,0.22,0.17,0.15,0.24,0.12,0.16
c_0,0.38,0.39,,0.28,0.3,0.27,0.18,0.22,0.58,0.22,0.3,0.21,0.18,0.18,0.15,0.19
g_1,0.27,0.22,0.26,0.46,0.27,0.16,0.2,0.23,0.21,0.71,0.2,0.22,0.1,0.17,0.11,
b_0,0.34,0.35,0.3,0.35,,0.26,0.27,0.26,0.21,0.22,0.59,0.19,0.25,0.18,0.19,0.19
f_0,0.38,,0.46,0.33,0.25,0.17,0.27,0.28,0.25,0.18,0.21,0.59,0.19,0.18,0.27,0.15
a_0,0.39,0.42,0.34,0.39,0.31,,0.3,0.33,0.27,0.3,0.2,0.23,0.58,0.19,,
h_0,0.46,0.65,0.51,0.4,0.46,0.26,,0.26,0.32,0.25,0.31,0.31,0.23,,0.2,0.3
e_0,,,0.43,,,,0.27,0.36,0.27,0.25,0.22,0.21,,0.27,0.58,0.19
g_0,0.43,,0.47,0.69,0.49,0.3,0.3,0.35,0.36,,0.31,0.38,,0.31,0.18,
