,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,0.41,0.45,0.44,0.43,0.43,0.09,0.1,0.14,0.09,0.09,0.13,0.05,0.09,0.1,0.08
e_1,0.27,0.17,0.47,0.46,0.54,0.5,0.13,0.11,0.15,0.1,0.09,0.12,0.06,0.09,0.15,0.07
c_1,0.49,0.36,0.15,0.53,0.45,0.41,0.13,0.05,0.12,0.13,0.09,0.08,0.07,0.09,0.07,0.06
d_1,0.53,0.49,0.47,0.14,0.41,0.38,0.12,0.14,0.08,0.09,0.09,0.09,0.06,0.1,0.07,0.04
b_1,0.5,0.51,0.25,0.52,0.13,0.49,0.14,0.11,0.12,0.12,0.15,0.09,0.08,0.09,0.08,0.06
a_1,0.63,0.44,0.49,0.41,0.24,0.09,0.15,0.1,0.15,0.12,0.13,0.11,0.07,0.15,0.09,0.07
h_1,0.39,0.38,0.42,0.4,0.36,0.34,0.06,0.09,0.11,0.08,0.08,0.07,0.07,0.09,0.08,0.06
d_0,0.38,0.23,0.45,0.56,0.46,0.4,0.13,0.06,0.14,0.08,0.08,0.08,0.07,0.08,0.09,0.06
g_1,0.45,0.4,0.47,0.36,0.4,0.34,0.09,0.08,0.04,0.08,0.08,0.07,0.04,0.08,0.06,0.08
c_0,0.39,0.42,0.71,0.23,0.44,0.42,0.11,0.11,0.11,0.05,0.09,0.1,0.07,0.08,0.08,0.06
b_0,0.4,0.38,0.5,0.31,0.6,0.38,0.11,0.08,0.11,0.04,0.05,0.08,0.06,0.11,0.08,0.06
f_0,0.52,0.35,0.4,0.42,0.37,0.36,0.13,0.09,0.07,0.08,0.07,0.04,0.06,0.09,0.08,0.04
h_0,0.46,0.38,0.39,0.34,0.37,0.38,0.16,0.08,0.1,0.07,0.08,0.06,0.08,0.07,0.07,0.06
a_0,0.38,0.4,0.42,0.39,0.51,0.59,0.11,0.08,0.1,0.06,0.04,0.06,0.06,0.04,0.07,0.06
e_0,0.5,0.45,0.53,0.39,0.4,0.3,0.11,0.07,0.09,0.07,0.07,0.04,0.05,0.08,0.04,0.04
g_0,0.38,0.39,0.41,0.38,0.36,0.41,0.09,0.09,0.14,0.08,0.08,0.09,0.05,0.08,0.08,0.07
