,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.0,1.16,0.99,0.83,0.64,0.73,0.64,0.88,0.62,0.69,0.63,0.59,0.62,0.67
f_1,1.33,1.0,0.87,0.94,0.9,0.83,0.6,0.72,0.56,0.58,0.64,0.5,0.48,0.54,0.4,0.58
d_1,0.99,1.17,1.0,0.95,0.9,0.89,0.71,0.56,0.83,0.71,0.64,0.64,0.6,0.67,0.56,0.5
c_1,0.86,1.06,1.07,1.0,1.37,0.83,0.72,0.77,0.53,0.51,0.59,0.6,0.63,0.53,0.61,0.56
b_1,1.01,1.11,1.1,0.72,1.0,1.35,0.81,0.72,0.81,0.73,0.64,0.67,0.76,0.59,0.66,0.58
a_1,1.22,1.18,1.13,1.2,0.74,1.0,0.98,0.78,0.82,0.79,0.98,0.82,0.9,0.82,0.76,0.65
h_1,1.57,1.68,1.4,1.38,1.17,1.04,1.0,1.17,0.93,0.82,0.86,0.97,0.85,0.79,0.72,1.02
g_1,1.38,1.35,1.71,1.36,1.45,1.24,0.91,1.0,0.95,0.9,0.97,1.27,0.74,0.81,0.86,0.71
c_0,1.54,1.66,1.17,1.8,1.33,1.21,1.05,1.0,1.0,1.16,1.3,0.98,0.98,0.96,1.05,0.86
d_0,1.15,1.76,1.49,2.01,1.44,1.21,1.2,1.06,0.82,1.0,0.94,0.92,0.98,0.76,0.89,0.83
b_0,1.56,1.61,1.55,1.74,1.55,0.98,1.18,1.03,0.78,1.04,1.0,0.97,0.9,1.29,0.84,0.84
f_0,1.35,1.89,1.55,1.76,1.46,1.26,1.05,0.79,1.03,1.01,1.03,1.0,1.08,1.01,1.51,0.74
h_0,1.53,2.07,1.68,1.55,1.42,1.07,1.15,1.37,0.99,1.02,1.11,0.9,1.0,1.07,1.0,1.0
a_0,1.68,1.85,1.53,1.88,1.52,1.45,1.31,1.25,1.1,1.37,0.77,1.08,0.95,1.0,1.19,1.01
e_0,1.74,2.34,1.79,1.72,1.52,1.38,1.43,1.17,1.06,1.08,1.17,0.77,1.13,0.86,1.0,1.01
g_0,1.51,1.71,2.11,1.83,1.7,1.47,0.96,1.39,1.14,1.1,1.2,1.32,0.98,1.02,1.02,1.0
