,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,1.27,1.3,1.44,2.76,14.7,26.31,25.93,36.07,40.92,57.37,73.0,107.31,87.53,133.53
e_1,0.76,1.0,1.3,1.38,1.52,3.12,23.58,37.53,26.16,42.05,39.31,59.27,69.81,141.69,140.48,125.14
d_1,0.78,0.77,1.0,1.11,1.1,2.44,14.97,22.91,32.39,27.08,38.21,44.84,59.9,81.78,92.4,75.51
c_1,0.77,0.72,0.9,1.0,1.63,2.36,19.05,15.15,21.68,28.21,29.59,42.57,61.37,77.27,94.6,101.53
b_1,0.69,0.66,0.91,0.61,1.0,2.91,16.72,21.79,23.97,35.01,40.07,35.63,63.12,75.51,77.08,88.45
a_1,0.36,0.32,0.41,0.42,0.34,1.0,10.71,11.01,9.39,15.75,16.68,23.05,29.79,37.96,44.47,57.15
h_1,0.07,0.04,0.07,0.05,0.06,0.09,1.0,1.14,1.31,2.27,2.3,2.5,3.45,4.83,4.66,6.8
d_0,0.04,0.03,0.05,0.07,0.05,0.09,0.87,1.0,0.86,1.38,1.49,2.46,3.56,3.96,4.05,4.84
c_0,0.04,0.04,0.03,0.05,0.04,0.1,0.78,1.22,1.0,1.54,2.24,1.95,2.55,4.33,3.85,4.63
g_1,0.03,0.02,0.04,0.04,0.03,0.06,0.45,0.69,0.62,1.0,1.17,2.17,2.01,2.66,2.86,3.85
b_0,0.03,0.02,0.02,0.03,0.02,0.06,0.4,0.62,0.46,0.87,1.0,1.16,1.5,3.18,2.77,2.76
f_0,0.02,0.02,0.02,0.03,0.03,0.04,0.38,0.42,0.54,0.48,0.86,1.0,1.48,1.47,3.17,1.63
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.28,0.29,0.37,0.52,0.66,0.7,1.0,1.06,1.28,1.87
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.2,0.25,0.27,0.35,0.32,0.65,0.93,1.0,0.77,1.29
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.21,0.23,0.26,0.34,0.39,0.31,0.82,1.3,1.0,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.21,0.21,0.27,0.36,0.58,0.54,0.8,0.81,1.0
