,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,36.3,0.08,0.06,0.06,0.05,0.05,0.31,0.23,0.69,0.46,0.44,0.3,0.25,0.53,0.45,
f_1,0.11,37.1,0.08,0.06,0.06,0.07,0.32,0.25,0.31,0.35,0.51,,0.39,0.47,0.53,0.24
d_1,0.06,0.06,39.83,0.06,0.07,0.09,0.34,0.28,,0.79,0.36,0.28,0.34,0.65,0.48,
c_1,0.07,0.07,0.04,41.54,0.13,0.05,0.31,0.31,0.37,,0.28,0.33,0.33,0.73,0.5,0.53
b_1,0.09,0.09,0.07,0.07,51.44,0.11,0.23,0.22,0.38,0.23,,0.49,0.3,0.63,0.37,0.4
a_1,0.05,0.05,0.07,0.06,0.08,79.81,0.28,0.28,0.41,0.46,0.3,0.26,,0.7,0.43,0.6
h_1,0.27,0.35,0.2,0.3,0.29,,26.65,1.39,1.42,1.28,1.4,1.19,1.2,,3.4,1.95
g_1,0.29,0.13,0.35,0.29,0.3,0.34,1.2,31.26,1.11,1.34,0.97,2.83,1.26,1.12,,1.98
d_0,0.26,0.31,,0.71,0.36,0.28,1.78,1.47,17.87,1.15,2.02,2.53,1.74,3.18,3.3,1.64
c_0,0.36,0.32,0.42,,0.27,0.35,1.23,1.76,1.67,18.65,3.22,2.3,1.78,3.07,3.03,1.34
b_0,0.24,0.43,0.32,0.35,,0.4,1.45,1.65,1.9,1.81,19.65,1.98,2.63,3.37,3.58,1.46
f_0,0.29,,0.47,0.44,0.25,0.43,1.46,1.53,1.84,1.12,2.29,21.18,1.38,3.75,2.62,4.08
a_0,0.21,0.43,0.39,0.26,0.28,,1.96,1.19,2.56,1.98,1.67,1.7,29.76,1.66,2.33,2.72
h_0,0.43,0.85,0.59,0.49,0.59,0.5,,2.58,2.88,3.33,2.09,1.2,4.58,,7.77,2.75
g_0,0.61,0.25,0.6,0.38,0.47,0.61,1.42,,2.92,3.88,2.87,6.0,3.59,5.73,,2.43
e_0,,0.31,0.37,0.37,0.45,,1.54,1.28,2.25,2.06,2.38,2.0,,4.85,2.66,31.19
