,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,16.56,0.57,0.41,0.64,0.55,0.6,0.94,1.74,0.96,0.95,0.95,0.94,0.96,1.24,0.92,0.47
f_1,1.37,18.17,0.52,0.48,0.4,0.36,0.67,0.89,0.67,0.85,0.87,0.29,0.88,0.81,0.89,0.49
d_1,0.46,0.62,19.73,0.42,0.5,0.54,0.99,0.36,0.82,1.9,1.23,1.11,0.98,0.94,1.04,0.98
c_1,0.41,0.52,0.53,19.39,1.08,0.53,0.89,0.88,0.86,0.29,0.69,0.76,1.04,0.76,0.93,1.1
b_1,0.44,0.46,0.61,0.51,21.07,1.25,0.83,0.8,0.8,0.82,0.33,1.03,0.82,0.62,0.8,1.07
a_1,0.44,0.55,0.59,0.64,0.57,30.9,0.82,0.88,0.82,1.1,1.06,1.11,0.84,0.35,0.75,0.95
h_1,0.55,1.03,0.78,0.59,0.53,0.6,5.85,1.32,1.64,1.09,0.92,1.09,0.58,1.28,2.33,1.3
d_0,0.66,0.66,0.25,1.76,0.67,0.69,1.07,3.15,0.97,0.78,1.26,1.07,1.46,1.01,1.12,1.22
g_1,0.49,0.58,1.4,0.68,0.57,0.46,1.06,0.93,7.81,1.0,1.3,2.36,1.28,1.39,0.65,1.41
c_0,0.59,0.86,0.7,0.49,0.59,0.7,1.18,1.35,1.2,3.23,3.22,1.17,1.46,1.39,1.28,1.33
b_0,0.85,0.82,0.59,0.81,0.32,0.33,1.51,1.15,1.42,1.0,4.52,1.56,1.82,3.69,1.24,1.06
f_0,0.48,0.3,0.93,0.88,0.75,0.66,1.37,1.14,1.35,1.02,1.18,4.17,1.49,1.37,1.65,3.37
h_0,0.72,1.02,0.67,0.8,0.71,0.49,0.63,1.05,1.62,0.99,1.33,1.19,0.61,1.3,1.48,1.39
a_0,0.64,0.82,0.95,0.7,0.55,0.2,1.41,1.22,1.39,1.04,1.2,1.61,2.02,5.44,1.73,1.43
g_0,0.5,0.61,1.49,0.7,0.76,0.66,0.84,0.91,0.64,1.33,1.16,2.13,1.24,1.01,0.99,1.47
e_0,0.29,0.92,1.06,0.74,0.55,0.58,1.15,1.1,1.08,1.3,1.56,1.23,1.64,1.35,1.32,5.67
