,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.3,1.01,1.22,1.26,3.0,17.86,26.77,26.6,32.38,36.89,51.92,72.21,67.06,77.51,117.83
e_1,0.78,1.0,0.97,1.23,1.46,2.86,21.45,28.26,26.83,38.91,39.04,61.01,76.85,76.64,115.14,109.76
d_1,0.98,1.0,1.0,0.96,1.17,2.72,17.56,21.92,32.03,27.31,38.27,52.34,69.31,69.94,87.54,81.69
c_1,0.84,0.83,1.03,1.0,1.56,2.44,17.22,21.17,23.89,19.72,28.2,44.47,64.76,65.99,77.1,96.01
b_1,0.79,0.69,0.84,0.66,1.0,3.08,15.77,21.86,26.17,20.52,30.52,39.31,49.22,68.64,78.64,88.25
a_1,0.34,0.35,0.38,0.39,0.32,1.0,8.2,10.36,10.37,10.78,15.13,19.7,28.11,26.0,34.55,39.57
h_1,0.06,0.05,0.06,0.06,0.06,0.12,1.0,1.62,1.36,1.35,1.93,2.63,3.47,3.65,4.53,6.09
g_1,0.04,0.04,0.05,0.05,0.05,0.1,0.61,1.0,0.96,0.94,1.29,2.25,2.67,2.35,3.8,3.88
c_0,0.04,0.04,0.03,0.04,0.04,0.09,0.74,1.05,1.0,1.21,1.76,1.96,2.93,2.75,3.66,3.79
d_0,0.03,0.03,0.04,0.05,0.05,0.09,0.7,1.06,0.78,1.0,1.23,1.83,2.59,2.67,3.21,4.12
b_0,0.03,0.03,0.03,0.03,0.03,0.06,0.52,0.76,0.58,0.78,1.0,1.45,2.69,2.12,2.53,2.51
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.39,0.44,0.53,0.54,0.67,1.0,1.37,1.52,2.56,1.68
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.31,0.36,0.34,0.37,0.4,0.73,1.0,1.15,1.31,1.44
h_0,0.02,0.01,0.01,0.01,0.02,0.04,0.26,0.42,0.36,0.37,0.46,0.65,0.87,1.0,1.23,1.64
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.23,0.27,0.29,0.32,0.4,0.4,0.74,0.73,1.0,1.12
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.28,0.26,0.23,0.36,0.6,0.74,0.59,0.93,1.0
