,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.6,0.55,0.68,0.76,0.54,0.14,0.26,0.14,0.14,0.13,0.31,0.07,0.15,0.11,0.14
e_1,0.35,0.16,0.74,0.76,0.65,0.69,0.24,0.21,0.15,0.14,0.16,0.18,0.11,0.14,0.11,0.35
d_1,0.69,0.73,0.16,0.64,0.64,0.61,0.16,0.12,0.13,0.29,0.14,0.14,0.09,0.11,0.06,0.12
c_1,0.76,0.51,0.79,0.14,0.65,0.63,0.19,0.18,0.27,0.07,0.12,0.12,0.1,0.13,0.1,0.1
b_1,0.72,0.67,0.71,0.37,0.14,0.7,0.23,0.21,0.17,0.13,0.27,0.13,0.1,0.14,0.11,0.14
a_1,0.84,0.63,0.61,0.82,0.36,0.09,0.2,0.22,0.11,0.15,0.14,0.1,0.1,0.28,0.08,0.13
h_1,0.58,0.51,0.5,0.57,0.47,0.51,0.06,0.16,0.11,0.11,0.11,0.09,0.11,0.11,0.07,0.1
g_1,0.63,0.59,0.48,0.63,0.55,0.49,0.11,0.05,0.1,0.09,0.09,0.11,0.06,0.1,0.1,0.09
c_0,0.62,0.54,0.28,1.05,0.56,0.54,0.14,0.14,0.06,0.14,0.11,0.1,0.08,0.11,0.07,0.1
d_0,0.52,0.28,0.79,0.59,0.59,0.49,0.16,0.19,0.11,0.06,0.11,0.1,0.08,0.14,0.09,0.11
b_0,0.62,0.55,0.43,0.73,0.88,0.41,0.13,0.12,0.06,0.11,0.05,0.09,0.08,0.09,0.07,0.11
f_0,0.86,0.56,0.5,0.48,0.5,0.46,0.17,0.1,0.09,0.11,0.1,0.05,0.07,0.09,0.05,0.08
h_0,0.52,0.52,0.45,0.6,0.47,0.42,0.2,0.16,0.1,0.12,0.1,0.11,0.13,0.09,0.08,0.09
a_0,0.5,0.49,0.5,0.64,0.69,0.76,0.14,0.15,0.09,0.12,0.06,0.09,0.06,0.04,0.07,0.11
g_0,0.62,0.48,0.49,0.54,0.57,0.49,0.1,0.2,0.1,0.12,0.1,0.09,0.05,0.09,0.12,0.11
e_0,0.74,0.94,0.49,0.44,0.56,0.44,0.13,0.12,0.1,0.09,0.09,0.04,0.11,0.11,0.06,0.03
