,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.23,0.94,0.4,0.46,0.39,0.31,0.89,0.94,0.7,0.86,0.34,0.85,1.0,0.61,0.53,0.89
e_1,0.54,2.25,0.59,0.39,0.37,0.38,0.76,1.9,0.83,1.03,1.13,1.04,1.53,0.48,0.81,0.92
c_1,0.56,0.4,2.41,0.48,0.86,0.35,0.8,0.8,0.63,0.25,0.86,0.7,1.25,0.55,0.76,1.32
d_1,0.5,0.48,0.38,2.46,0.4,0.33,0.91,0.43,0.89,2.13,1.3,1.06,1.15,0.96,0.77,1.15
b_1,0.57,0.43,0.45,0.45,2.64,0.76,0.76,1.04,0.73,0.73,0.87,0.37,1.31,0.73,0.79,1.2
a_1,0.55,0.45,0.61,0.53,0.36,3.01,0.73,1.17,0.64,0.84,0.88,0.88,1.42,0.91,0.38,1.05
h_1,0.9,0.55,0.65,0.52,0.47,0.39,3.08,1.1,1.36,1.26,0.85,1.19,0.74,0.77,0.85,1.75
d_0,0.71,0.58,1.05,0.29,0.54,0.47,1.22,2.51,0.8,1.08,1.39,1.06,1.45,0.82,0.81,1.47
g_1,0.64,0.54,0.51,0.92,0.47,0.41,1.08,1.0,3.32,1.06,1.74,1.19,1.25,1.08,0.97,0.71
c_0,0.61,0.74,0.37,0.65,0.45,0.37,1.19,1.28,1.25,2.58,1.24,2.34,1.45,1.16,1.14,1.28
f_0,0.34,0.47,0.68,0.73,0.59,0.52,1.15,1.34,0.88,1.44,2.78,1.22,1.45,2.28,0.93,1.62
b_0,0.67,0.69,0.7,0.56,0.25,0.42,1.24,1.18,1.23,1.26,1.2,2.96,1.59,0.99,2.02,1.59
h_0,0.91,0.55,0.64,0.57,0.52,0.52,0.86,1.26,1.29,1.12,1.01,1.28,1.06,0.98,1.0,1.7
e_0,0.52,0.39,0.73,0.53,0.63,0.47,1.46,1.61,1.08,1.4,1.22,1.41,1.93,3.15,1.51,1.68
a_0,0.8,0.45,0.74,0.66,0.52,0.25,1.19,1.36,0.86,1.17,1.21,1.32,1.6,1.03,3.24,1.66
g_0,0.41,0.58,0.62,0.95,0.61,0.45,1.26,0.76,0.65,1.18,1.78,1.18,1.45,1.14,0.87,0.9
