,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.38,0.26,0.25,0.21,0.28,0.28,0.48,0.96,0.7,0.5,0.7,0.65,0.7,0.6,,0.81
f_1,0.42,2.41,0.25,0.29,0.27,0.3,0.44,0.65,0.68,0.51,0.63,,0.74,0.57,0.6,0.72
c_1,0.27,0.31,2.48,0.28,0.46,0.27,0.52,0.51,,0.6,0.41,0.69,0.9,0.64,0.63,0.76
d_1,0.26,0.27,0.23,2.51,0.31,0.22,0.58,,0.94,0.56,0.62,0.75,0.77,0.73,0.7,0.59
b_1,0.26,0.31,0.22,0.27,2.79,0.56,0.56,0.57,0.55,0.59,,0.63,0.76,,0.73,0.87
a_1,0.22,0.32,0.34,0.32,0.19,3.19,0.57,0.72,0.78,0.49,0.48,0.62,0.74,,,0.75
h_1,0.62,0.71,0.53,0.55,0.51,0.54,3.9,1.26,1.12,1.08,0.93,0.97,,1.29,1.39,1.56
d_0,0.56,0.58,1.12,,0.57,0.56,1.18,3.3,1.37,1.05,1.48,1.37,2.03,1.53,1.26,1.49
c_0,0.57,0.58,,0.59,0.52,0.65,1.24,1.55,3.5,1.14,2.41,1.52,1.69,1.03,1.31,1.9
g_1,0.48,0.49,0.47,0.72,0.48,0.49,1.16,1.24,1.04,4.36,0.93,2.02,1.18,1.38,1.11,
b_0,0.62,0.64,0.73,0.67,,0.48,1.26,1.52,1.03,1.27,3.71,0.93,1.83,1.92,1.38,1.95
f_0,0.65,,0.65,0.42,0.63,0.54,1.66,1.37,1.42,0.99,1.62,3.9,1.66,1.47,2.02,1.85
h_0,0.72,0.88,0.68,0.82,0.92,0.61,,1.76,1.69,1.92,1.6,1.36,,1.55,1.69,2.53
a_0,0.77,0.65,0.58,0.52,,,1.4,1.19,1.69,1.06,1.34,1.47,1.82,4.52,1.33,
e_0,,0.66,0.57,0.49,0.53,,1.19,1.54,1.6,1.66,1.38,1.4,1.87,1.57,4.64,1.75
g_0,0.7,0.69,0.76,1.33,0.74,0.65,1.5,1.42,1.34,,1.61,1.77,2.24,,1.75,
