,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.3,0.93,0.75,0.68,0.74,0.6,1.77,3.08,1.5,1.18,2.07,1.74,2.32,1.66,2.13,1.61
f_1,0.77,2.35,1.47,0.71,0.6,0.6,1.5,1.38,1.24,1.78,1.55,0.87,2.02,1.3,1.72,1.06
e_1,0.78,0.9,2.39,1.0,0.79,0.6,1.49,1.55,1.23,3.09,1.76,1.74,2.32,1.47,1.92,1.0
c_1,0.93,0.76,0.77,2.58,1.36,0.57,1.15,1.04,1.23,1.68,1.05,1.38,2.09,1.16,1.77,1.6
b_1,0.92,0.8,0.75,0.63,2.67,1.34,1.51,1.74,1.35,1.52,1.26,1.83,2.04,1.23,2.01,1.33
a_1,0.92,0.96,0.82,0.92,0.71,3.1,1.6,1.65,1.52,1.63,1.81,1.63,2.18,0.88,2.23,1.28
h_1,1.0,1.17,0.9,0.99,0.64,0.59,3.25,1.83,2.18,1.74,1.66,1.74,1.75,1.56,2.56,1.59
c_0,1.05,1.04,0.94,0.65,0.68,0.75,1.87,3.02,1.8,1.93,3.59,1.69,2.5,2.26,2.45,1.76
g_1,1.41,0.84,0.77,0.87,0.73,0.6,1.61,1.89,3.47,1.38,1.69,2.45,2.33,1.61,1.69,1.95
d_0,0.7,0.92,0.9,1.54,0.96,0.72,1.59,1.42,1.36,2.95,1.76,1.6,2.24,1.3,1.94,1.31
b_0,1.01,1.03,1.01,0.99,0.57,0.58,1.74,1.92,1.65,1.8,3.2,1.97,2.46,3.3,2.35,1.95
f_0,1.14,0.77,0.72,0.99,0.89,0.71,1.82,2.07,1.97,1.76,1.85,3.39,2.49,1.93,2.38,3.37
h_0,1.07,1.28,0.94,0.89,0.84,0.62,1.4,1.72,1.83,1.82,1.79,1.68,1.92,1.67,2.86,1.6
a_0,1.09,1.02,0.96,0.93,0.78,0.42,2.15,1.96,1.66,1.73,1.84,1.77,2.68,3.5,2.66,1.89
g_0,1.52,0.84,0.75,0.88,0.76,0.61,1.63,2.03,1.49,1.46,1.73,2.87,2.33,1.54,2.07,1.76
e_0,1.03,1.11,0.72,0.93,0.74,0.76,1.94,2.0,1.92,1.93,1.99,1.66,2.65,1.49,2.07,3.35
