,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.23,0.21,0.23,0.25,0.19,0.17,0.42,0.85,0.29,0.44,0.46,0.48,0.62,0.28,0.58,0.08
f_1,0.41,2.29,0.25,0.19,0.18,0.12,0.41,0.46,0.34,0.48,0.44,0.11,0.69,0.33,0.44,0.24
d_1,0.26,0.26,2.34,0.17,0.19,0.13,0.4,0.11,0.5,0.89,0.43,0.47,0.51,0.42,0.51,0.32
c_1,0.19,0.23,0.2,2.42,0.44,0.13,0.43,0.55,0.3,0.13,0.44,0.36,0.59,0.34,0.5,0.34
b_1,0.2,0.22,0.22,0.22,2.58,0.38,0.34,0.56,0.31,0.43,0.12,0.48,0.42,0.36,0.36,0.51
a_1,0.23,0.29,0.18,0.27,0.18,3.0,0.37,0.52,0.31,0.41,0.34,0.4,0.5,0.05,0.55,0.37
h_1,0.34,0.55,0.37,0.33,0.26,0.36,2.92,0.8,0.79,0.84,0.86,0.71,0.34,0.53,1.32,0.88
d_0,0.4,0.46,0.11,0.81,0.31,0.29,0.78,2.17,0.52,0.56,0.78,0.87,1.14,0.67,0.88,0.68
g_1,0.38,0.36,0.64,0.33,0.32,0.16,0.63,0.71,3.23,0.74,0.84,1.02,1.02,0.64,0.35,0.65
c_0,0.39,0.48,0.44,0.17,0.24,0.36,0.93,0.63,0.66,2.44,1.55,1.13,1.3,0.7,1.24,0.76
b_0,0.44,0.41,0.47,0.37,0.11,0.32,0.74,0.91,0.62,0.82,2.55,0.88,1.2,1.32,1.02,0.73
f_0,0.36,0.2,0.41,0.5,0.32,0.37,0.74,0.9,0.77,0.79,0.9,2.56,1.16,0.95,1.14,1.46
h_0,0.41,0.56,0.45,0.4,0.35,0.23,0.28,0.71,0.91,0.66,1.0,0.8,0.42,0.65,1.0,0.62
a_0,0.41,0.49,0.46,0.41,0.32,,0.69,0.83,0.72,0.8,1.13,0.86,1.37,2.91,0.98,0.77
g_0,0.39,0.31,0.65,0.36,0.35,0.27,0.6,0.7,0.29,0.55,0.73,1.34,0.9,0.62,0.48,0.85
e_0,0.1,0.42,0.46,0.61,0.32,0.38,0.51,0.62,0.55,0.76,0.82,1.04,0.84,0.71,0.92,2.87
