,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.9,0.96,0.79,0.67,0.42,0.42,0.39,0.36,0.35,0.29,0.3,0.35,0.27,0.35
e_1,0.85,1.0,0.96,1.1,0.84,0.72,0.59,0.48,0.59,0.45,0.45,0.45,0.37,0.33,0.39,0.33
d_1,1.1,1.05,1.0,0.82,0.9,0.69,0.55,0.37,0.45,0.57,0.43,0.41,0.37,0.32,0.35,0.27
c_1,1.05,0.91,1.23,1.0,1.31,0.82,0.46,0.43,0.32,0.38,0.39,0.41,0.35,0.33,0.3,0.36
b_1,1.25,1.19,1.13,0.76,1.0,1.34,0.6,0.5,0.54,0.56,0.42,0.46,0.44,0.3,0.39,0.38
a_1,1.51,1.39,1.45,1.21,0.75,1.0,0.77,0.82,0.56,0.59,0.67,0.43,0.52,0.56,0.4,0.42
h_1,2.42,1.81,1.82,2.07,1.63,1.24,1.0,0.98,0.92,0.78,0.86,0.8,0.72,0.61,0.72,0.81
g_1,2.21,2.25,2.78,2.17,2.15,1.28,1.0,1.0,0.93,0.94,0.92,1.13,0.66,0.73,0.7,0.9
d_0,2.37,1.75,2.3,3.11,1.99,1.73,1.07,1.08,1.01,0.76,0.9,0.82,0.88,0.77,0.75,0.76
c_0,2.62,2.28,1.72,2.66,1.76,1.65,1.25,1.05,1.34,1.0,1.41,0.8,0.94,0.78,0.83,0.8
b_0,2.77,2.23,2.29,2.52,2.48,1.54,1.24,1.07,1.14,0.74,1.0,0.99,0.87,1.11,0.79,0.83
f_0,3.55,2.15,2.52,2.42,2.18,2.22,1.22,0.87,1.23,1.18,0.98,1.0,0.94,0.81,1.22,0.73
h_0,3.34,2.84,2.75,2.67,2.38,1.99,1.45,1.53,1.14,1.07,1.13,1.0,1.0,1.0,0.73,1.14
a_0,2.83,3.06,3.08,3.03,3.21,1.78,1.68,1.35,1.43,1.27,0.92,1.24,1.0,1.0,1.06,0.95
e_0,3.76,2.64,2.92,3.27,2.63,2.38,1.46,1.4,1.3,1.23,1.3,0.86,1.41,0.92,1.0,1.08
g_0,3.06,3.0,3.69,2.95,2.69,2.15,1.24,1.12,1.28,1.26,1.22,1.31,0.9,1.08,0.94,1.0
