,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.64,1.02,1.07,0.89,0.9,0.83,0.38,0.31,0.41,0.36,0.47,0.33,0.26,0.3,0.3,0.21
f_1,0.94,0.64,1.03,0.99,0.89,0.83,0.37,0.44,0.35,0.34,0.38,0.36,0.25,0.32,0.3,0.29
e_1,0.93,0.69,0.64,1.1,0.93,0.84,0.46,0.5,0.38,0.36,0.43,0.44,0.32,0.35,0.46,0.31
c_1,1.2,1.04,0.79,0.63,1.11,0.91,0.48,0.47,0.39,0.33,0.24,0.34,0.3,0.36,0.33,0.27
b_1,1.09,1.13,1.03,0.7,0.61,1.26,0.49,0.48,0.49,0.45,0.33,0.38,0.33,0.36,0.36,0.31
a_1,1.22,1.24,1.23,1.12,0.7,0.58,0.56,0.55,0.47,0.57,0.51,0.41,0.39,0.53,0.45,0.36
h_1,1.61,1.67,1.5,1.5,1.55,1.29,0.54,0.75,0.56,0.53,0.53,0.57,0.48,0.51,0.51,0.45
g_1,1.71,1.83,1.53,1.58,1.63,1.45,0.61,0.52,0.61,0.56,0.56,0.6,0.42,0.53,0.53,0.5
c_0,1.19,1.97,1.71,2.06,1.55,1.55,0.78,0.65,0.54,0.75,0.74,0.63,0.52,0.67,0.59,0.5
b_0,1.46,1.91,1.92,2.12,1.88,1.36,0.76,0.74,0.45,0.53,0.67,0.58,0.52,0.63,0.57,0.49
d_0,1.84,1.63,1.23,2.14,2.22,1.49,0.99,0.94,0.61,0.6,0.54,0.69,0.55,0.62,0.74,0.55
f_0,1.87,2.27,1.78,1.85,1.8,1.68,0.83,0.62,0.65,0.66,0.64,0.52,0.53,0.61,0.83,0.4
h_0,1.83,2.19,1.9,2.12,1.93,1.53,1.03,0.84,0.66,0.72,0.72,0.68,0.65,0.63,0.65,0.61
a_0,1.95,2.08,2.03,2.13,2.06,1.67,0.87,0.92,0.64,0.5,0.76,0.77,0.64,0.52,0.64,0.61
e_0,2.02,2.69,2.3,2.2,1.92,1.83,0.92,0.77,0.71,0.7,0.67,0.43,0.54,0.73,0.5,0.53
g_0,2.28,2.29,2.21,2.11,1.98,1.96,0.78,1.09,0.75,0.83,0.8,0.81,0.52,0.65,0.67,0.68
