,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.33,0.94,1.04,0.72,0.77,0.62,1.43,3.01,1.42,1.15,1.44,1.6,1.57,2.1,0.9,1.92
f_1,1.51,2.35,0.75,0.71,0.72,0.6,1.28,1.78,1.57,1.02,1.52,1.01,1.41,1.79,1.07,1.79
c_1,0.73,0.83,2.44,0.8,1.41,0.63,1.31,1.43,1.04,1.27,1.17,1.6,1.09,2.0,1.32,1.77
d_1,0.84,0.9,0.59,2.47,0.75,0.64,1.7,0.98,3.1,1.49,2.15,1.48,1.69,2.21,1.6,1.63
b_1,0.78,0.84,0.97,0.83,2.51,1.1,1.51,1.6,1.5,1.15,0.98,1.31,1.11,1.99,1.32,1.96
a_1,0.91,0.84,0.89,0.92,0.76,3.13,1.69,1.72,1.5,1.32,1.53,1.61,1.32,2.01,1.59,2.31
h_1,0.84,1.35,0.84,0.95,0.86,0.64,3.39,1.59,1.68,1.83,1.83,1.6,1.8,1.45,1.67,2.48
d_0,0.87,0.98,1.68,0.62,0.95,0.55,1.49,3.11,1.32,1.48,1.24,1.58,1.52,2.22,1.4,1.75
c_0,0.9,1.07,0.75,1.06,0.69,0.67,1.88,1.82,3.21,1.7,3.56,2.24,2.21,2.3,1.46,2.13
g_1,0.84,0.78,0.89,1.42,0.9,0.66,1.45,1.3,1.92,3.77,1.73,2.63,1.64,2.12,2.03,1.34
b_0,0.82,0.93,0.92,1.03,0.69,0.8,1.75,1.89,2.16,1.59,3.46,2.0,3.27,2.34,1.72,2.22
f_0,0.72,0.83,0.91,0.98,0.99,0.77,1.8,2.06,1.93,1.6,2.09,3.45,1.83,2.88,3.29,2.03
a_0,0.9,1.05,0.97,0.93,0.84,0.51,1.87,1.99,2.13,1.54,1.94,1.68,3.4,2.39,1.6,2.09
h_0,0.91,1.25,0.92,0.97,0.82,0.71,1.08,1.79,1.97,1.93,1.88,1.73,1.52,1.97,1.63,2.95
e_0,0.67,1.08,0.81,1.11,0.91,0.57,2.0,1.87,2.26,1.72,1.92,1.67,1.83,2.46,3.36,2.59
g_0,0.83,0.87,0.83,1.46,0.82,0.64,1.73,1.58,2.18,1.03,1.48,2.64,1.47,2.05,1.62,1.89
