,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.98,1.0,0.9,1.4,0.62,0.76,0.71,0.47,0.46,0.68,0.53,0.61,0.55,0.49,0.53
f_1,1.03,1.0,1.02,1.3,0.84,0.7,0.59,0.75,0.6,0.59,0.53,0.59,0.49,0.37,0.55,0.57
d_1,0.98,0.98,1.0,0.99,1.0,0.85,0.74,0.55,0.7,0.84,0.6,0.71,0.59,0.64,0.53,0.46
e_1,1.11,0.78,1.01,1.0,1.0,0.96,0.7,0.72,0.94,0.65,0.69,0.64,0.66,0.79,0.62,0.67
b_1,0.72,1.19,1.0,1.0,1.0,1.44,0.9,0.7,0.74,0.72,0.65,0.63,0.6,0.55,0.6,0.55
a_1,1.61,1.43,1.17,1.04,0.7,1.0,0.75,0.95,0.82,0.78,0.69,0.81,0.68,0.83,0.66,0.77
h_1,1.37,1.65,1.32,1.44,1.2,1.26,1.0,1.03,0.97,0.94,0.82,0.89,0.84,0.68,0.8,0.97
g_1,1.37,1.41,1.81,1.35,1.5,1.02,0.97,1.0,0.93,0.91,1.26,0.85,0.69,0.91,0.89,0.86
d_0,2.17,1.53,1.48,1.05,1.49,1.19,1.07,1.0,1.0,0.81,1.15,0.87,0.84,0.94,0.9,0.87
c_0,1.99,1.65,1.18,1.45,1.29,1.33,1.12,1.03,1.15,1.0,1.01,1.44,0.98,1.1,1.05,0.96
f_0,1.66,1.78,1.66,1.39,1.48,1.35,1.14,0.8,0.95,1.0,1.0,1.11,0.96,1.38,1.2,0.78
b_0,1.88,1.8,1.39,1.55,1.66,1.2,1.12,1.13,1.08,0.72,0.87,1.0,1.05,0.98,1.43,0.95
h_0,1.6,2.01,1.73,1.57,1.52,1.37,1.17,1.5,1.18,1.1,1.11,0.95,1.0,0.96,0.97,1.1
e_0,1.82,2.8,1.67,1.44,1.85,1.23,1.36,1.06,1.03,0.9,0.75,0.99,1.13,1.0,1.06,0.96
a_0,1.96,1.73,1.85,1.63,1.61,1.46,1.24,1.16,1.11,0.96,0.83,0.68,1.04,0.9,1.0,1.04
g_0,1.89,1.78,2.12,1.54,1.77,1.29,1.05,1.19,1.16,1.07,1.27,1.03,0.91,1.01,0.96,1.0
